participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	449.0	286.0	872.0	2.664	0.977	0.122	0.073	7.0	1.1	111.0	110.0	20.9014	8.1075	-15.0657	44.3323	59.398	2.578	3.3317	0.7006	2.3795	4.4912	2.1116
8454119	581.0	330.0	924.0	2.535	1.211	0.14	0.074	11.0	1.9	111.0	110.0	16.4185	9.8536	-3.0043	53.4716	56.4759	1.6662	3.2199	0.7809	2.5607	5.1785	2.6178
11407866	513.0	315.0	1250.0	3.371	0.766	0.099	0.048	4.0	0.7	111.0	110.0	18.1331	7.6646	0.0	49.3935	49.3935	2.3658	3.1674	0.8817	2.393	4.9336	2.5406
11574123	457.0	291.0	995.0	3.153	0.892	0.119	0.063	8.0	1.2	111.0	110.0	17.9211	5.9993	-9.1972	33.8378	43.035	2.9872	3.1372	0.8096	2.3259	4.4404	2.1146
16684978	293.0	192.0	753.0	3.31	0.769	0.097	0.039	2.0	0.4	111.0	110.0	19.905	5.4336	4.534	37.2852	32.7512	3.6633	3.284	0.6841	2.3501	4.3843	2.0342
25354225	447.0	287.0	975.0	3.167	1.03	0.163	0.087	14.0	1.5	111.0	110.0	17.6232	9.4373	-17.1537	48.6489	65.8026	1.8674	3.1842	0.7134	2.5039	4.5138	2.0099
25811472	450.0	269.0	934.0	3.021	0.92	0.117	0.079	8.0	1.3	111.0	110.0	16.6094	6.8137	-14.3478	31.8938	46.2417	2.4376	3.381	0.7856	2.5666	4.7715	2.2049
27876862	297.0	187.0	723.0	3.417	0.883	0.086	0.03	1.0	0.2	111.0	110.0	18.0941	6.0673	1.1564	35.1523	33.9959	2.9822	2.63	0.3699	2.2432	3.3669	1.1237
29811890	451.0	336.0	1022.0	2.747	1.132	0.121	0.043	5.0	0.7	111.0	110.0	17.8205	8.5864	-16.2144	40.5475	56.7619	2.0754	2.8181	0.5062	2.4279	4.3709	1.943
31361606	460.0	259.0	773.0	2.551	0.864	0.137	0.095	12.0	2.1	111.0	110.0	18.753	9.2058	-19.1088	42.3831	61.4919	2.0371	2.8737	0.5881	2.3144	4.2951	1.9807
32938469	327.0	204.0	688.0	2.829	1.042	0.11	0.052	3.0	0.5	111.0	110.0	19.8479	7.5619	3.7452	54.8016	51.0564	2.6247	3.4703	0.8663	2.5128	4.9306	2.4178
36895554	428.0	270.0	847.0	2.9	1.083	0.142	0.074	9.0	1.2	111.0	110.0	15.3788	7.9469	-0.8633	48.1361	48.9994	1.9352	2.8961	0.686	2.2882	4.6074	2.3193
37329051	597.0	368.0	674.0	1.866	0.961	0.184	0.094	316.0	2.9	111.0	110.0	12.4166	9.2199	-17.2398	36.9421	54.1819	1.3467	3.2591	0.6322	2.6235	4.9873	2.3638
37835493	453.0	275.0	890.0	3.048	1.088	0.116	0.141	14.0	3.5	111.0	110.0	17.1128	8.9656	-15.3039	44.2011	59.505	1.9087	3.0995	0.7297	2.388	4.4813	2.0932
43606631	356.0	217.0	739.0	3.116	0.829	0.093	0.035	3.0	0.2	111.0	110.0	20.5487	6.9484	0.0407	36.1333	36.0925	2.9573	3.1565	0.7498	2.1821	4.5943	2.4123
49408975	437.0	252.0	800.0	2.917	1.131	0.106	0.05	4.0	0.5	111.0	110.0	14.8353	6.9596	-4.533	39.4795	44.0125	2.1316	3.01	0.6521	2.3594	4.6675	2.308
51217255	461.0	253.0	804.0	2.529	1.019	0.143	0.111	13.0	2.6	111.0	110.0	16.2179	8.2732	-11.9393	35.0373	46.9765	1.9603	3.2587	0.9894	2.3315	4.9013	2.5697
52306425	438.0	272.0	916.0	2.931	0.958	0.087	0.027	2.0	0.4	111.0	110.0	16.6832	6.4906	-9.6505	36.2837	45.9343	2.5703	2.942	0.6836	2.3496	4.4472	2.0977
52835891	376.0	222.0	727.0	3.116	0.836	0.099	0.044	4.0	0.5	111.0	110.0	16.7578	8.5413	-19.4888	38.7245	58.2133	1.962	2.9026	0.4843	2.412	3.7687	1.3568
55710183	389.0	259.0	929.0	3.206	0.921	0.116	0.047	4.0	0.7	111.0	110.0	19.7794	7.5049	-5.5334	39.0889	44.6223	2.6355	3.1695	0.7061	2.4101	4.4835	2.0733
56162563	423.0	263.0	1150.0	3.646	0.763	0.089	0.034	4.0	0.3	111.0	110.0	19.5662	6.062	-7.4152	39.0623	46.4775	3.2277	3.3464	0.8643	2.4082	4.7886	2.3804
60021964	547.0	335.0	1067.0	2.888	0.875	0.1	0.052	5.0	1.0	111.0	110.0	17.5501	6.5722	-3.8158	37.8649	41.6808	2.6704	3.4051	0.7514	2.5161	4.9502	2.4341
62582335	432.0	266.0	1466.0	3.222	1.164	0.117	0.046	5.0	0.8	111.0	110.0	16.7675	7.9555	-9.1604	48.2801	57.4406	2.1077	3.09	0.7257	2.494	4.6848	2.1909
65198031	355.0	211.0	700.0	3.065	0.794	0.107	0.049	4.0	0.6	111.0	110.0	16.8954	6.6606	-1.0983	38.9026	40.0009	2.5366	2.8547	0.6023	2.2696	4.2819	2.0123
70214854	411.0	251.0	759.0	2.969	0.888	0.142	0.078	9.0	1.4	111.0	110.0	18.6678	7.797	-4.395	44.5433	48.9383	2.3942	2.7511	0.4944	2.0198	3.6624	1.6426
71851847	451.0	295.0	835.0	2.642	0.97	0.145	0.075	11.0	1.1	111.0	110.0	20.1197	9.2706	-75.9964	56.1313	132.1277	2.1703	3.065	0.6172	2.3579	4.2554	1.8976
74920331	392.0	243.0	741.0	3.021	1.07	0.094	0.047	5.0	0.8	111.0	110.0	16.601	7.5835	-9.1661	31.5025	40.6686	2.1891	2.9535	0.6525	2.3139	4.5351	2.2212
77390767	469.0	288.0	1165.0	3.133	1.028	0.121	0.092	59.0	2.0	111.0	110.0	18.6327	8.8789	-7.6823	50.3721	58.0544	2.0985	2.9466	0.705	2.3155	4.4132	2.0977
78982423	392.0	228.0	607.0	2.637	0.67	0.14	0.067	7.0	1.1	111.0	110.0	16.4352	7.7213	-0.0808	44.3232	44.404	2.1286	2.7703	0.434	2.2781	3.7337	1.4556
80982198	485.0	345.0	1364.0	3.306	0.884	0.128	0.042	6.0	0.7	111.0	110.0	18.7398	7.1711	-5.7594	44.6271	50.3865	2.6132	3.3242	0.8632	2.5406	4.9096	2.369
82699044	527.0	324.0	1130.0	3.265	0.871	0.105	0.04	5.0	0.6	111.0	110.0	17.5361	6.5526	-9.3935	34.176	43.5695	2.6762	3.1437	0.7428	2.471	4.7325	2.2615
84407714	449.0	270.0	798.0	2.633	1.095	0.137	0.092	10.0	1.7	111.0	110.0	15.5036	8.8961	-24.3596	39.0216	63.3813	1.7427	2.7569	0.5698	2.2516	3.8674	1.6159
86226939	388.0	257.0	880.0	3.149	0.722	0.106	0.039	4.0	0.3	111.0	110.0	18.0568	9.9611	-49.4062	63.5264	112.9326	1.8127	3.2864	0.7228	2.4377	4.6999	2.2621
93800202	392.0	234.0	777.0	2.917	0.939	0.137	0.096	8.0	1.5	111.0	110.0	16.6953	7.3358	-6.8872	31.1368	38.024	2.2759	2.9547	0.9692	2.1608	4.4469	2.286
97005004	477.0	296.0	1067.0	3.271	0.913	0.112	0.047	4.0	0.7	111.0	110.0	18.7264	6.8127	-5.1021	37.2958	42.3978	2.7488	3.0584	0.4798	2.519	4.0677	1.5487
100527940	343.0	251.0	940.0	3.029	0.887	0.169	0.09	6.0	1.4	111.0	110.0	17.3735	8.309	-10.0564	39.0075	49.0639	2.0909	3.7602	1.0304	2.3805	5.0375	2.6571
