participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	299.0	176.0	385.0	2.289	0.73	0.114	0.051	5.0	0.3	120.0	119.0	11.6193	10.0864	0.0	35.1753	35.1753	1.152	2.9755	0.1043	2.8403	3.4186	0.5783
8454119	439.0	289.0	785.0	2.787	1.043	0.149	0.043	8.0	0.6	120.0	119.0	12.7415	10.2422	0.0	32.9758	32.9758	1.244	3.3858	0.139	3.2611	4.0102	0.7491
11407866	295.0	192.0	501.0	2.399	0.574	0.151	0.04	6.0	0.4	120.0	119.0	14.1122	9.5637	0.0	32.9015	32.9015	1.4756	2.5765	0.0596	2.4437	2.665	0.2214
11574123	359.0	210.0	472.0	2.184	0.619	0.137	0.043	9.0	0.4	120.0	119.0	12.1842	9.0332	-4.0392	30.9537	34.9929	1.3488	2.7609	0.0518	2.662	2.9074	0.2454
16684978	319.0	178.0	361.0	2.235	0.425	0.114	0.025	3.0	0.3	120.0	119.0	13.8587	10.2819	0.0	35.3412	35.3412	1.3479	2.7021	0.0453	2.6546	2.8835	0.2288
25354225	462.0	291.0	890.0	2.558	0.705	0.143	0.063	10.0	1.2	120.0	119.0	14.8321	9.9553	-38.5649	33.7836	72.3485	1.4899	2.8959	0.0711	2.8104	3.1115	0.3011
25811472	332.0	211.0	576.0	2.613	0.755	0.129	0.04	5.0	0.3	120.0	119.0	11.4562	8.9455	-0.0619	29.1477	29.2096	1.2807	2.9978	0.0997	2.8774	3.3418	0.4644
27876862	338.0	181.0	483.0	2.299	0.573	0.109	0.025	3.0	0.3	120.0	119.0	14.2525	9.1589	0.0	30.6779	30.6779	1.5561	2.6885	0.0413	2.6214	2.8544	0.233
29811890	339.0	200.0	555.0	2.344	0.595	0.109	0.043	5.0	0.5	120.0	119.0	15.5113	8.4972	-12.3543	30.2476	42.6019	1.8255	2.8355	0.0454	2.7319	2.9522	0.2203
31361606	365.0	180.0	386.0	1.894	0.486	0.101	0.034	4.0	0.5	120.0	119.0	14.3851	8.5022	0.0	31.7201	31.7201	1.6919	2.6061	0.0315	2.4635	2.6774	0.2139
