participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	459.0	313.0	1192.0	2.867	0.611	0.162	0.033	9.0	0.6	27.0	26.0	25.2804	4.0993	14.3696	37.8062	23.4367	6.167	2.1978	0.0614	2.0868	2.3585	0.2718
8454119	588.0	410.0	1314.0	2.466	0.555	0.135	0.029	9.0	0.8	27.0	26.0	24.5798	6.4964	2.6577	52.9329	50.2751	3.7836	2.6406	0.0644	2.5065	2.8575	0.351
11407866	512.0	340.0	1812.0	3.489	0.717	0.146	0.043	10.0	0.8	27.0	26.0	27.6528	6.9981	7.3486	45.156	37.8074	3.9515	2.2511	0.0719	2.1012	2.4282	0.327
11574123	392.0	266.0	1436.0	3.596	0.65	0.138	0.048	6.0	0.9	27.0	26.0	21.5266	6.8854	-1.2666	38.4874	39.754	3.1264	2.3176	0.074	2.1756	2.5063	0.3307
16684978	496.0	357.0	1620.0	3.259	0.64	0.144	0.029	7.0	0.6	27.0	26.0	24.374	4.6672	9.8866	40.6723	30.7857	5.2224	2.2674	0.0607	2.1025	2.4123	0.3098
25354225	467.0	328.0	1520.0	3.642	0.42	0.153	0.041	7.0	0.9	27.0	26.0	24.4297	6.5277	2.0933	42.0141	39.9208	3.7425	2.394	0.0656	2.2657	2.5511	0.2854
25811472	624.0	435.0	1898.0	3.35	0.662	0.151	0.036	11.0	1.1	27.0	26.0	26.7692	5.7736	-9.7672	44.401	54.1681	4.6365	2.4513	0.0781	2.266	2.6986	0.4326
27876862	430.0	298.0	1027.0	2.579	0.497	0.161	0.035	8.0	0.6	27.0	26.0	22.7827	4.7067	5.2397	35.5176	30.2779	4.8405	2.2485	0.0875	2.0443	2.4549	0.4106
29811890	336.0	195.0	1064.0	3.769	0.465	0.134	0.033	5.0	0.4	27.0	26.0	20.1199	5.4606	5.0088	34.4271	29.4183	3.6845	2.3474	0.0705	2.1923	2.4673	0.275
31361606	442.0	325.0	1670.0	3.363	0.777	0.158	0.035	9.0	0.6	27.0	26.0	24.9006	4.5358	13.3931	39.3371	25.9439	5.4898	2.1592	0.0598	2.0514	2.3944	0.343
32938469	555.0	412.0	1333.0	2.622	0.66	0.147	0.05	10.0	1.1	27.0	26.0	23.4517	7.6912	4.5098	44.5674	40.0576	3.0491	2.5665	0.0704	2.4005	2.7373	0.3367
36895554	425.0	299.0	1174.0	2.972	0.449	0.174	0.075	17.0	1.6	27.0	26.0	22.9314	7.8982	-3.4399	41.079	44.5189	2.9034	2.2601	0.0776	2.1549	2.4443	0.2894
37329051	445.0	311.0	2087.0	4.145	0.713	0.181	0.053	11.0	1.0	27.0	26.0	26.3159	8.8566	4.0975	44.8308	40.7333	2.9713	2.4326	0.0784	2.2669	2.7362	0.4693
37835493	519.0	351.0	1242.0	2.844	0.671	0.148	0.029	8.0	0.6	27.0	26.0	25.463	4.7223	10.1093	40.1166	30.0074	5.3921	2.2824	0.0395	2.167	2.3886	0.2215
43606631	390.0	280.0	1000.0	2.856	0.754	0.193	0.078	8.0	1.5	27.0	26.0	21.882	7.242	-11.9569	63.4762	75.4331	3.0216	2.3488	0.0693	2.2049	2.4841	0.2792
49408975	428.0	309.0	1615.0	3.586	0.637	0.117	0.029	4.0	0.4	27.0	26.0	23.4807	6.384	4.2273	38.329	34.1017	3.678	2.4325	0.0746	2.2623	2.6179	0.3556
51217255	321.0	220.0	1135.0	3.572	0.46	0.157	0.037	5.0	0.5	27.0	26.0	23.8156	6.1347	7.4673	48.3674	40.9002	3.8821	2.1365	0.0398	2.0661	2.26	0.1939
52306425	734.0	497.0	1987.0	3.274	0.456	0.123	0.021	7.0	0.7	27.0	26.0	26.0075	4.0561	12.3754	38.9792	26.6038	6.4119	2.2766	0.0724	2.0796	2.4058	0.3262
52835891	405.0	281.0	1378.0	3.649	0.571	0.148	0.044	8.0	0.6	27.0	26.0	27.3895	6.7349	5.2876	45.2009	39.9133	4.0668	2.3317	0.073	2.2021	2.4898	0.2878
55710183	469.0	328.0	1300.0	2.892	0.779	0.182	0.101	18.0	1.8	27.0	26.0	23.2519	8.0413	-17.6238	40.3174	57.9412	2.8916	2.4635	0.1193	2.2061	2.7045	0.4984
56162563	430.0	281.0	1214.0	3.238	0.601	0.137	0.038	6.0	0.7	27.0	26.0	26.4599	7.8461	5.4654	42.8121	37.3467	3.3724	2.2611	0.0335	2.1838	2.3378	0.154
60021964	507.0	363.0	1773.0	3.308	0.713	0.14	0.031	8.0	0.6	27.0	26.0	26.9718	5.4786	9.6173	40.311	30.6937	4.9232	2.3414	0.0666	2.1923	2.502	0.3096
