participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	351.0	222.0	1093.0	3.348	0.487	0.118	0.035	6.0	0.4	124.0	123.0	22.5373	5.9954	4.0977	40.0858	35.9881	3.7591	4.0439	0.2881	3.3893	4.6484	1.2591
8454119	393.0	237.0	1529.0	3.634	0.752	0.145	0.049	8.0	0.8	124.0	123.0	19.6745	6.1156	0.9079	34.402	33.4941	3.2171	4.2081	0.2523	3.3722	4.7297	1.3575
11407866	369.0	235.0	1271.0	3.725	0.686	0.117	0.02	6.0	0.2	124.0	123.0	21.1635	4.4883	9.4951	33.5219	24.0268	4.7153	4.2204	0.4966	3.2873	5.0071	1.7197
11574123	353.0	214.0	1452.0	4.214	0.64	0.138	0.057	7.0	0.7	124.0	123.0	18.0211	4.4561	6.9928	30.799	23.8062	4.0442	4.1421	0.2758	3.5905	4.6411	1.0505
16684978	229.0	152.0	909.0	3.938	0.601	0.133	0.03	3.0	0.3	124.0	123.0	21.8008	4.6272	7.9766	33.5287	25.552	4.7115	3.7053	0.3847	3.0338	4.4554	1.4216
25354225	316.0	236.0	1199.0	3.251	0.852	0.144	0.045	6.0	0.6	124.0	123.0	21.1203	7.9293	-22.6916	46.8713	69.5629	2.6636	4.2503	0.261	3.8242	4.7311	0.9069
25811472	367.0	263.0	1583.0	3.802	0.635	0.156	0.04	7.0	0.7	124.0	123.0	20.177	5.3268	0.7437	32.0859	31.3422	3.7878	4.3381	0.4676	3.497	5.2845	1.7875
27876862	247.0	183.0	787.0	3.306	0.427	0.122	0.029	4.0	0.2	124.0	123.0	19.0851	5.6177	5.2226	34.5157	29.2931	3.3973	3.1313	0.264	2.6423	3.7119	1.0696
29811890	365.0	212.0	1229.0	3.861	0.496	0.109	0.02	6.0	0.4	124.0	123.0	22.2328	5.0142	7.8399	36.3894	28.5495	4.4339	3.9172	0.3913	3.2163	4.6494	1.433
31361606	257.0	166.0	720.0	3.129	0.586	0.112	0.024	3.0	0.2	124.0	123.0	23.6389	4.2172	11.7936	33.6056	21.812	5.6054	3.5973	0.306	3.084	4.2926	1.2085
32938469	351.0	233.0	1249.0	3.937	0.548	0.149	0.045	6.0	0.7	124.0	123.0	20.0987	6.2502	0.9269	42.2973	41.3704	3.2157	4.0657	0.4516	3.2964	4.909	1.6125
36895554	286.0	189.0	1113.0	4.013	0.722	0.127	0.029	4.0	0.3	124.0	123.0	21.3108	4.6915	8.4227	34.872	26.4493	4.5424	3.9256	0.3349	3.2982	4.5625	1.2643
37329051	394.0	238.0	1187.0	3.352	0.591	0.114	0.028	7.0	0.5	124.0	123.0	18.7383	5.7502	2.7522	36.8422	34.09	3.2587	3.8951	0.4177	3.18	4.8085	1.6284
37835493	293.0	205.0	946.0	3.168	0.594	0.13	0.038	6.0	0.6	124.0	123.0	19.9029	6.2272	1.7739	37.0982	35.3243	3.1961	3.7005	0.321	3.0672	4.4913	1.4241
43606631	262.0	166.0	804.0	3.319	0.408	0.139	0.031	5.0	0.3	124.0	123.0	21.32	4.8464	-1.7786	36.4329	38.2115	4.3992	4.0063	0.2811	3.3576	4.6415	1.2839
49408975	291.0	197.0	1289.0	4.059	0.544	0.128	0.038	6.0	0.4	124.0	123.0	19.391	5.7328	3.6799	35.2843	31.6044	3.3825	3.8897	0.453	2.7657	4.6787	1.913
51217255	301.0	202.0	1030.0	3.469	0.365	0.111	0.022	5.0	0.3	124.0	123.0	22.6915	4.4085	7.3955	31.9914	24.596	5.1472	3.7204	0.4896	2.8608	4.699	1.8382
52306425	372.0	247.0	1231.0	3.663	0.632	0.135	0.028	7.0	0.5	124.0	123.0	22.0031	5.7343	9.797	40.2684	30.4714	3.8371	3.6901	0.3948	2.9552	4.3309	1.3757
52835891	302.0	187.0	1024.0	3.717	0.621	0.148	0.063	7.0	0.9	124.0	123.0	15.6998	7.2736	-7.6492	34.4757	42.1249	2.1585	3.69	0.179	3.198	4.0334	0.8354
55710183	420.0	256.0	1362.0	3.655	0.507	0.118	0.032	7.0	0.6	124.0	123.0	20.7371	4.4855	6.9706	35.3383	28.3677	4.6231	3.6664	0.5689	2.6607	4.632	1.9712
56162563	274.0	174.0	1095.0	4.065	0.643	0.126	0.032	4.0	0.3	124.0	123.0	23.8493	4.3512	12.6323	33.8884	21.2562	5.4811	4.2425	0.5466	3.1152	4.9715	1.8563
60021964	405.0	271.0	1167.0	3.1	0.748	0.148	0.041	10.0	0.5	124.0	123.0	21.3683	6.5476	2.8822	36.1095	33.2273	3.2635	4.1227	0.2716	3.6008	4.7883	1.1875
62582335	272.0	162.0	1255.0	4.268	0.54	0.132	0.046	6.0	0.3	124.0	123.0	17.3162	5.2063	1.8759	29.4016	27.5257	3.326	4.0082	0.3573	3.2752	4.604	1.3288
65198031	253.0	192.0	1039.0	3.71	0.577	0.167	0.028	6.0	0.3	124.0	123.0	21.9826	4.855	10.4824	35.2568	24.7744	4.5279	4.0539	0.3328	3.2406	4.493	1.2524
70214854	274.0	200.0	916.0	3.478	0.551	0.133	0.028	5.0	0.3	124.0	123.0	21.2538	5.8123	5.4705	38.3533	32.8828	3.6567	3.4288	0.2935	2.743	3.8575	1.1144
