participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	612.0	418.0	1123.0	2.888	0.46	0.089	0.019	3.0	0.4	129.0	128.0	23.9575	4.5939	8.5064	39.2342	30.7277	5.2151	4.411	0.2498	3.952	4.9729	1.021
8454119	842.0	550.0	1508.0	2.914	0.369	0.103	0.023	6.0	1.0	129.0	128.0	22.474	5.9981	2.1869	39.7371	37.5503	3.7468	4.6511	0.4572	3.9339	5.4273	1.4934
11407866	750.0	493.0	1605.0	3.155	0.554	0.107	0.021	8.0	0.6	129.0	128.0	24.762	5.8491	5.0852	36.0712	30.986	4.2335	4.1139	0.366	3.3589	5.0111	1.6522
11574123	775.0	521.0	1533.0	2.87	0.568	0.102	0.015	6.0	0.6	129.0	128.0	24.1914	4.4683	10.4487	35.5645	25.1157	5.414	4.5344	0.2568	3.7043	4.9245	1.2202
16684978	727.0	482.0	1498.0	3.039	0.524	0.099	0.022	5.0	0.6	129.0	128.0	24.0622	4.9607	8.7708	41.2159	32.445	4.8505	3.5986	0.2219	3.1322	4.2298	1.0977
25354225	755.0	588.0	1578.0	3.117	0.521	0.11	0.02	5.0	0.7	129.0	128.0	21.4243	8.9126	-58.6577	41.2652	99.9229	2.4038	4.3326	0.1875	3.937	4.6824	0.7454
25811472	806.0	567.0	1682.0	3.125	0.498	0.107	0.022	5.0	0.6	129.0	128.0	24.1767	4.4406	6.7929	34.8061	28.0132	5.4444	4.1814	0.5031	3.2667	5.1081	1.8414
27876862	775.0	498.0	1690.0	3.179	0.526	0.115	0.023	11.0	0.8	129.0	128.0	22.365	5.5126	6.5772	34.8461	28.2689	4.0571	3.1479	0.3411	2.5029	3.7819	1.279
29811890	821.0	519.0	1627.0	3.169	0.5	0.052	0.006	1.0	0.2	129.0	128.0	26.2349	3.7233	13.8636	38.5992	24.7356	7.0461	4.2949	0.316	3.5135	4.8466	1.3331
31361606	593.0	389.0	1083.0	2.909	0.554	0.077	0.011	2.0	0.3	129.0	128.0	26.682	4.0285	12.7276	43.0965	30.3689	6.6234	3.706	0.1543	3.2647	4.0595	0.7948
32938469	845.0	548.0	1619.0	2.781	0.664	0.127	0.033	8.0	1.3	129.0	128.0	24.5471	7.1798	3.2482	49.0254	45.7772	3.4189	4.3863	0.2978	3.5718	4.9273	1.3555
36895554	614.0	416.0	1206.0	3.09	0.558	0.088	0.015	3.0	0.4	129.0	128.0	24.6724	4.3911	12.6877	37.2361	24.5483	5.6188	4.2072	0.2383	3.4632	4.5335	1.0703
37329051	837.0	544.0	1686.0	3.181	0.612	0.07	0.013	3.0	0.4	129.0	128.0	23.6202	5.3351	5.258	50.7196	45.4616	4.4273	4.3566	0.4096	3.3637	5.1394	1.7757
37835493	742.0	502.0	1571.0	3.056	0.515	0.095	0.017	3.0	0.5	129.0	128.0	23.9314	3.896	11.2235	34.769	23.5454	6.1425	4.1412	0.311	3.4611	4.8822	1.4211
43606631	815.0	555.0	1341.0	2.356	0.451	0.12	0.021	11.0	0.8	129.0	128.0	21.9612	6.339	2.9246	40.0919	37.1674	3.4645	4.2603	0.2238	3.79	4.8466	1.0565
49408975	790.0	522.0	1580.0	3.145	0.514	0.072	0.012	2.0	0.4	129.0	128.0	23.941	3.5972	4.8796	33.9367	29.0571	6.6555	4.2317	0.3458	3.0843	4.761	1.6767
51217255	671.0	454.0	1333.0	2.993	0.359	0.101	0.017	5.0	0.5	129.0	128.0	26.4573	4.7115	13.9909	42.802	28.8111	5.6154	4.1048	0.3957	2.9162	4.728	1.8118
52306425	960.0	646.0	2211.0	3.157	0.534	0.133	0.033	15.0	1.2	129.0	128.0	23.9784	5.519	7.1811	39.0431	31.862	4.3447	4.087	0.3521	3.1771	4.8804	1.7032
52835891	640.0	420.0	1203.0	2.933	0.451	0.065	0.009	2.0	0.2	129.0	128.0	23.7968	4.0671	10.0137	39.1982	29.1845	5.8511	3.6985	0.1287	3.3922	3.9447	0.5525
55710183	1004.0	666.0	2039.0	2.904	0.49	0.095	0.02	10.0	0.9	129.0	128.0	23.4133	5.1066	1.8797	39.1018	37.222	4.5849	4.2294	0.6564	2.6582	5.1665	2.5083
56162563	682.0	451.0	1521.0	3.231	0.513	0.083	0.014	3.0	0.4	129.0	128.0	24.7042	3.4327	14.0336	38.1856	24.152	7.1967	4.5049	0.3056	3.4994	5.0613	1.5619
60021964	871.0	623.0	1882.0	2.918	0.504	0.114	0.022	8.0	0.9	129.0	128.0	23.5297	5.3173	8.1409	38.4854	30.3445	4.4251	4.4709	0.1708	3.9577	4.8666	0.9089
62582335	587.0	413.0	1121.0	2.85	0.413	0.077	0.01	2.0	0.3	129.0	128.0	23.7857	4.3881	1.9535	35.8567	33.9032	5.4205	4.1287	0.2491	3.6976	4.5664	0.8688
65198031	713.0	483.0	1470.0	2.989	0.628	0.097	0.018	5.0	0.6	129.0	128.0	26.0893	4.7848	9.4153	46.1834	36.7681	5.4525	3.9742	0.285	3.3237	4.3947	1.071
70214854	811.0	544.0	1790.0	3.109	0.757	0.118	0.035	9.0	1.3	129.0	128.0	23.7285	6.1255	6.2998	45.9075	39.6077	3.8737	3.3071	0.3259	2.6325	3.7748	1.1423
71851847	783.0	512.0	1615.0	2.975	0.586	0.059	0.008	2.0	0.2	129.0	128.0	26.0831	4.6243	2.1057	48.1828	46.0771	5.6405	4.0053	0.5581	3.1214	4.8801	1.7587
74920331	774.0	525.0	1517.0	2.925	0.43	0.074	0.011	2.0	0.4	129.0	128.0	24.7927	3.4459	14.3668	36.6076	22.2408	7.1948	3.9265	0.3953	3.117	4.7011	1.5841
77390767	588.0	422.0	1135.0	2.913	0.449	0.12	0.025	6.0	0.6	129.0	128.0	25.2208	4.9464	8.5859	38.5465	29.9606	5.0989	3.7386	0.2094	3.279	4.266	0.9871
78982423	799.0	538.0	1597.0	2.915	0.541	0.099	0.019	5.0	0.6	129.0	128.0	23.8647	4.7302	8.0694	38.1556	30.0861	5.0451	3.822	0.4875	2.9755	4.5975	1.622
80982198	805.0	552.0	1880.0	3.508	0.649	0.105	0.02	5.0	0.7	129.0	128.0	25.3926	5.0781	11.7894	40.8595	29.0701	5.0004	3.8854	0.3653	3.1195	4.7101	1.5906
82699044	777.0	523.0	1599.0	3.284	0.731	0.1	0.021	5.0	0.6	129.0	128.0	24.4859	4.7194	6.5452	38.105	31.5597	5.1884	4.3706	0.2576	3.5556	4.8799	1.3243
84407714	612.0	409.0	1236.0	2.961	0.524	0.072	0.009	2.0	0.3	129.0	128.0	23.349	3.7534	8.3551	32.8692	24.514	6.2207	3.9849	0.2909	3.1739	4.3855	1.2117
86226939	648.0	426.0	1279.0	2.82	0.542	0.077	0.011	2.0	0.3	129.0	128.0	23.3528	4.3004	11.8418	41.8088	29.967	5.4303	4.1766	0.2701	3.6799	4.7694	1.0895
93800202	658.0	433.0	1307.0	3.031	0.43	0.046	0.004	1.0	0.1	129.0	128.0	25.4228	2.9039	15.6881	36.3266	20.6385	8.7548	3.8379	0.3314	2.8343	4.4661	1.6318
97005004	816.0	526.0	1429.0	2.862	0.4	0.067	0.011	2.0	0.4	129.0	128.0	26.9047	4.1656	11.3116	42.704	31.3925	6.4588	4.6757	0.7455	3.3685	5.5829	2.2144
100527940	1074.0	700.0	2545.0	3.198	0.76	0.128	0.04	15.0	1.8	129.0	128.0	20.743	7.0826	-3.1363	34.626	37.7623	2.9287	4.8853	0.3635	3.7689	5.9269	2.1581
103652366	720.0	449.0	1183.0	2.747	0.494	0.064	0.008	2.0	0.2	129.0	128.0	21.5016	3.8097	7.7381	39.009	31.2709	5.6439	3.9705	0.4209	3.193	4.6592	1.4662
105914514	1021.0	647.0	1596.0	2.71	0.572	0.114	0.035	9.0	1.3	129.0	128.0	14.1141	6.6717	-11.6231	31.2546	42.8777	2.1155	4.9358	0.3454	3.7391	5.4724	1.7334
107578676	998.0	660.0	2151.0	3.277	0.582	0.095	0.023	7.0	1.0	129.0	128.0	25.2544	5.6543	-6.3366	41.215	47.5517	4.4664	5.0413	0.4986	3.3117	5.6936	2.382
108828000	642.0	429.0	1178.0	2.794	0.353	0.072	0.008	2.0	0.2	129.0	128.0	24.9331	4.9895	7.0537	42.6685	35.6148	4.9971	3.7229	0.2334	3.17	4.1341	0.9641
113335479	849.0	548.0	1763.0	3.1	0.536	0.082	0.016	6.0	0.6	129.0	128.0	23.881	4.9843	1.0279	40.3309	39.3031	4.7913	4.8247	0.3191	4.1078	5.559	1.4513
115784129	860.0	572.0	1634.0	2.982	0.404	0.121	0.027	9.0	0.8	129.0	128.0	22.7607	4.9728	5.817	36.679	30.8621	4.577					
119126177	815.0	522.0	1933.0	3.462	0.646	0.103	0.018	7.0	0.6	129.0	128.0	24.32	3.896	10.3365	36.1999	25.8634	6.2423	4.0018	0.3812	3.2391	4.9291	1.69
121697273	1127.0	761.0	2313.0	2.94	0.481	0.123	0.021	14.0	1.0	129.0	128.0	25.4341	4.95	10.1972	40.6261	30.4289	5.1381	4.2378	0.2668	3.6825	4.8407	1.1582
130118047	906.0	618.0	2115.0	3.446	0.677	0.108	0.027	7.0	1.1	129.0	128.0	26.5669	5.9359	8.8854	53.531	44.6455	4.4756	4.0925	0.5169	2.9277	4.9959	2.0682
131655018	651.0	447.0	1292.0	2.961	0.693	0.093	0.035	12.0	0.6	129.0	128.0	24.2486	6.6477	-20.7552	44.2997	65.0549	3.6477	4.1426	0.1848	3.7313	4.4923	0.761
134279804	942.0	631.0	1883.0	3.275	0.682	0.109	0.022	8.0	0.9	129.0	128.0	23.426	5.1042	4.4016	39.6958	35.2942	4.5895	4.1834	0.3717	3.238	4.732	1.494
138434806	901.0	564.0	1659.0	2.938	0.491	0.092	0.021	7.0	0.7	129.0	128.0	23.3596	4.4716	10.1884	37.5159	27.3275	5.224	4.2273	0.5079	3.1642	4.9613	1.7971
