participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	801.0	552.0	1319.0	2.856	0.395	0.099	0.018	4.0	0.5	130.0	129.0	25.1114	3.5605	9.5104	34.7024	25.192	7.0527	3.9601	0.206	3.6386	4.7025	1.064
8454119	1036.0	699.0	1933.0	3.129	0.423	0.106	0.022	9.0	0.9	130.0	129.0	25.8188	5.1343	8.8434	39.813	30.9696	5.0287	4.2783	0.3094	3.9138	5.2808	1.367
11407866	916.0	621.0	1692.0	3.229	0.437	0.085	0.012	3.0	0.5	130.0	129.0	26.7552	3.3946	15.2474	36.4001	21.1527	7.8818	3.8903	0.2239	3.5049	4.3951	0.8902
11574123	1008.0	671.0	1627.0	2.858	0.487	0.085	0.012	4.0	0.5	130.0	129.0	25.6249	3.3214	15.54	35.7975	20.2575	7.715	4.0024	0.1485	3.6681	4.6164	0.9483
16684978	757.0	522.0	1202.0	2.688	0.338	0.126	0.025	7.0	0.8	130.0	129.0	23.6008	4.696	8.1925	33.7515	25.5591	5.0257	3.6368	0.0782	3.5007	3.8316	0.3309
25354225	933.0	655.0	1705.0	3.066	0.438	0.113	0.021	8.0	0.9	130.0	129.0	24.5181	5.3044	3.3924	38.8963	35.5039	4.6222	3.9426	0.1348	3.6953	4.3883	0.693
25811472	963.0	645.0	1706.0	3.227	0.378	0.097	0.016	5.0	0.7	130.0	129.0	26.0132	3.9978	11.7614	35.4181	23.6567	6.5069	4.0653	0.2275	3.6733	4.7302	1.0569
27876862	743.0	511.0	1202.0	2.765	0.395	0.106	0.016	6.0	0.5	130.0	129.0	24.8948	4.4419	8.2261	35.7258	27.4997	5.6045	3.6584	0.1605	3.3608	4.0269	0.666
29811890	999.0	673.0	1741.0	3.058	0.363	0.095	0.017	5.0	0.6	130.0	129.0	26.5305	3.569	13.9686	39.2715	25.3029	7.4336	4.0631	0.1088	3.7893	4.7172	0.9279
31361606	689.0	473.0	1124.0	2.866	0.412	0.093	0.016	3.0	0.5	130.0	129.0	25.3025	2.7056	16.6	33.5698	16.9699	9.3518	2.93	0.2315	2.6718	3.7717	1.0999
32938469	792.0	583.0	1362.0	2.809	0.457	0.119	0.024	6.0	0.8	130.0	129.0	25.4237	6.1532	-0.4203	41.8795	42.2997	4.1318	4.2232	0.1912	3.8975	4.795	0.8975
36895554	841.0	575.0	1336.0	2.944	0.648	0.101	0.018	4.0	0.6	130.0	129.0	23.5958	3.6713	10.7384	37.3096	26.5712	6.4271	3.9011	0.1326	3.579	4.3629	0.7839
37329051	998.0	692.0	1983.0	3.174	0.597	0.124	0.026	13.0	1.2	130.0	129.0	25.285	5.1982	5.2074	37.3823	32.175	4.8642	3.6526	0.2175	3.2376	4.4735	1.2359
37835493	829.0	583.0	1382.0	2.657	0.461	0.104	0.016	4.0	0.6	130.0	129.0	23.677	3.3801	12.5166	34.5855	22.0689	7.0048	3.8626	0.2285	3.4227	4.4694	1.0467
43606631	848.0	558.0	1211.0	2.514	0.337	0.106	0.019	8.0	0.7	130.0	129.0	23.536	4.8536	8.0621	35.5097	27.4476	4.8492	3.9858	0.1594	3.6993	4.542	0.8427
