participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	577.0	388.0	1107.0	2.888	0.526	0.113	0.02	5.0	0.5	177.0	176.0	26.0526	4.5087	9.5919	37.7327	28.1408	5.7783	4.3344	0.2306	3.7361	4.7987	1.0627
8454119	766.0	515.0	1403.0	2.673	0.431	0.103	0.02	6.0	0.6	177.0	176.0	23.9559	6.5251	-0.8206	39.7736	40.5941	3.6714	4.4831	0.2536	3.9228	5.0266	1.1038
11407866	646.0	458.0	1214.0	2.756	0.436	0.076	0.009	4.0	0.2	177.0	176.0	26.5314	4.6011	2.993	36.877	33.884	5.7663	3.9401	0.2338	3.3863	4.3562	0.9699
11574123	712.0	489.0	1525.0	3.098	0.499	0.131	0.027	10.0	0.8	177.0	176.0	24.1657	6.692	-2.6088	40.0684	42.6772	3.6111	4.1447	0.1776	3.8602	4.6387	0.7785
16684978	554.0	376.0	1043.0	2.955	0.587	0.099	0.014	3.0	0.3	177.0	176.0	25.8608	4.0742	6.5455	35.9136	29.3681	6.3474	3.4922	0.1066	3.1429	3.6576	0.5147
25354225	706.0	482.0	1443.0	3.04	0.797	0.116	0.03	10.0	1.1	177.0	176.0	20.8733	9.5083	-21.8467	38.85	60.6967	2.1953	4.2759	0.1402	3.8271	4.5152	0.6881
25811472	768.0	509.0	1434.0	2.81	0.519	0.101	0.022	7.0	0.9	177.0	176.0	22.8974	6.216	-4.4443	34.3333	38.7775	3.6836	3.641	0.3887	3.1297	4.8369	1.7072
27876862	544.0	370.0	879.0	2.732	0.367	0.083	0.011	2.0	0.3	177.0	176.0	25.3256	3.4899	11.487	35.9799	24.4929	7.2569	3.0556	0.3713	2.3926	3.8769	1.4843
29811890	656.0	435.0	1253.0	2.962	0.583	0.09	0.012	4.0	0.3	177.0	176.0	27.7424	4.3534	9.743	39.0724	29.3293	6.3726	4.1537	0.1997	3.741	4.5594	0.8184
31361606	537.0	368.0	983.0	2.816	0.416	0.087	0.016	2.0	0.3	177.0	176.0	27.3234	3.7758	11.0763	36.8604	25.7841	7.2365	3.4817	0.2027	2.7928	3.7629	0.9701
32938469	698.0	495.0	1195.0	2.591	0.516	0.149	0.044	12.0	1.3	177.0	176.0	20.9667	7.5261	-1.4472	38.4909	39.9381	2.7859	4.252	0.1938	3.5102	4.6411	1.1309
36895554	579.0	392.0	1055.0	2.808	0.556	0.109	0.023	5.0	0.5	177.0	176.0	24.6413	4.6988	7.8007	35.9956	28.1949	5.2442	4.1613	0.2205	3.6672	4.4638	0.7966
37329051	808.0	540.0	1451.0	2.635	0.505	0.112	0.024	10.0	0.6	177.0	176.0	24.9236	6.7933	1.2829	50.6166	49.3337	3.6689	4.0032	0.3776	3.1518	4.8791	1.7272
37835493	604.0	419.0	1123.0	2.696	0.473	0.107	0.02	5.0	0.5	177.0	176.0	25.0705	3.9282	7.7944	36.2669	28.4725	6.3823	4.0035	0.2	3.6506	4.5001	0.8495
43606631	636.0	444.0	1032.0	2.417	0.387	0.124	0.02	8.0	0.5	177.0	176.0	24.0072	5.9683	-3.3124	38.8563	42.1686	4.0224	4.0293	0.1158	3.7274	4.3885	0.6612
49408975	628.0	421.0	1083.0	2.87	0.371	0.073	0.008	2.0	0.2	177.0	176.0	24.6196	3.2196	14.277	42.4375	28.1605	7.6469	4.2188	0.2257	3.1648	4.6011	1.4363
51217255	599.0	400.0	1215.0	2.877	0.462	0.11	0.019	6.0	0.4	177.0	176.0	25.8638	4.737	10.6602	38.7256	28.0653	5.46	3.8829	0.2156	3.3383	4.3284	0.9901
52306425	708.0	490.0	1175.0	2.744	0.507	0.11	0.018	5.0	0.6	177.0	176.0	26.183	5.0917	8.1759	38.4079	30.232	5.1423	3.8337	0.2307	3.1374	4.4772	1.3398
52835891	540.0	382.0	1076.0	2.844	0.498	0.085	0.012	2.0	0.2	177.0	176.0	26.4871	3.6154	13.2903	37.0122	23.7219	7.3261	3.6385	0.1317	3.3388	3.9163	0.5775
55710183	760.0	517.0	1332.0	2.774	0.451	0.097	0.017	4.0	0.5	177.0	176.0	25.8542	3.5821	13.8537	35.782	21.9282	7.2177	4.1915	0.543	2.6938	4.8602	2.1664
56162563	619.0	410.0	1150.0	2.781	0.415	0.106	0.016	5.0	0.4	177.0	176.0	26.2172	5.3607	11.0245	40.9979	29.9734	4.8907	4.2817	0.3175	3.2982	4.8369	1.5387
60021964	776.0	521.0	1359.0	2.842	0.635	0.107	0.022	7.0	0.8	177.0	176.0	25.7926	5.9339	-5.1345	40.189	45.3235	4.3467	4.3322	0.1156	3.9049	4.6613	0.7564
62582335	510.0	350.0	1022.0	3.073	0.445	0.076	0.009	2.0	0.1	177.0	176.0	26.4469	4.0084	1.9294	35.4761	33.5468	6.5979	4.0877	0.1947	3.6862	4.4485	0.7623
65198031	639.0	429.0	1051.0	2.689	0.534	0.076	0.009	2.0	0.2	177.0	176.0	26.6523	3.3996	18.5108	41.9777	23.4668	7.8399	3.9363	0.2295	3.3241	4.309	0.985
70214854	548.0	377.0	913.0	2.68	0.393	0.113	0.02	4.0	0.4	177.0	176.0	26.767	4.0327	10.5105	37.809	27.2985	6.6375	3.094	0.3827	2.524	3.7075	1.1835
71851847	706.0	464.0	1159.0	2.719	0.544	0.078	0.011	3.0	0.3	177.0	176.0	26.1961	6.0051	-8.3254	45.5806	53.906	4.3623	4.0434	0.4934	3.1182	4.7302	1.612
74920331	740.0	495.0	1262.0	2.696	0.386	0.093	0.014	5.0	0.4	177.0	176.0	25.7687	4.5121	10.9387	36.7961	25.8575	5.711	3.8901	0.3972	3.2155	4.5918	1.3763
77390767	519.0	363.0	923.0	2.855	0.57	0.1	0.019	2.0	0.4	177.0	176.0	26.4074	4.1888	11.433	40.8574	29.4243	6.3042	3.5065	0.1318	3.3098	3.8886	0.5788
78982423	666.0	458.0	1070.0	2.611	0.482	0.101	0.016	4.0	0.5	177.0	176.0	25.2098	3.8183	10.3555	37.627	27.2715	6.6024	3.9114	0.5109	3.0376	4.5789	1.5414
80982198	615.0	420.0	1193.0	3.33	0.566	0.096	0.019	3.0	0.4	177.0	176.0	26.9248	4.194	9.9893	37.058	27.0687	6.4199	3.6626	0.2338	3.1683	4.4779	1.3097
82699044	689.0	488.0	1294.0	2.702	0.487	0.094	0.016	3.0	0.5	177.0	176.0	26.3547	4.0504	13.6728	39.2016	25.5288	6.5067	4.3487	0.3108	3.7633	4.916	1.1527
84407714	470.0	336.0	762.0	2.628	0.359	0.078	0.009	2.0	0.2	177.0	176.0	26.1202	3.0004	16.6293	34.2971	17.6677	8.7055	3.9055	0.2477	3.4194	4.2961	0.8767
86226939	516.0	358.0	937.0	2.591	0.431	0.106	0.021	5.0	0.4	177.0	176.0	24.7613	4.8301	8.9641	39.5618	30.5977	5.1265	3.9806	0.2161	3.5416	4.5369	0.9953
93800202	548.0	352.0	996.0	3.025	0.476	0.073	0.011	2.0	0.2	177.0	176.0	27.843	3.6732	12.5148	40.3862	27.8715	7.58	3.7842	0.2064	2.9869	4.1823	1.1954
97005004	748.0	483.0	1436.0	2.945	0.378	0.087	0.012	5.0	0.4	177.0	176.0	26.7025	4.0625	10.3666	37.3014	26.9348	6.5729	4.708	0.6111	3.3809	5.4988	2.118
100527940	855.0	554.0	1698.0	3.112	0.512	0.108	0.026	6.0	1.0	177.0	176.0	25.3052	5.3232	-2.3651	37.4696	39.8347	4.7537	4.559	0.2946	3.5423	5.0918	1.5496
103652366	634.0	413.0	1055.0	2.777	0.495	0.081	0.01	2.0	0.3	177.0	176.0	24.0136	4.7123	6.3102	35.3909	29.0806	5.096	4.0091	0.3648	3.1087	4.5708	1.4621
105914514	943.0	655.0	1853.0	2.875	0.669	0.126	0.047	11.0	1.8	177.0	176.0	15.1839	6.0875	-2.8491	34.5009	37.35	2.4943	4.6908	0.3613	3.6631	5.3137	1.6507
107578676	753.0	507.0	1363.0	2.952	0.537	0.089	0.015	4.0	0.5	177.0	176.0	26.1615	5.2675	-5.9236	36.5883	42.5119	4.9666	4.9713	0.386	3.7183	5.6144	1.8961
108828000	624.0	449.0	1036.0	2.611	0.391	0.083	0.011	3.0	0.3	177.0	176.0	26.691	3.5344	12.6276	39.836	27.2084	7.5517	3.7105	0.168	3.3052	4.0013	0.6961
113335479	780.0	519.0	1509.0	2.839	0.539	0.096	0.014	8.0	0.5	177.0	176.0	23.5142	5.7973	0.7953	41.1768	40.3815	4.0561	4.425	0.4162	3.5093	5.1069	1.5976
115784129	676.0	443.0	1049.0	2.416	0.338	0.083	0.015	4.0	0.5	177.0	176.0	25.775	5.7599	7.0186	38.318	31.2994	4.4749					
119126177	627.0	430.0	1140.0	2.837	0.593	0.082	0.01	3.0	0.2	177.0	176.0	26.1032	3.3927	10.5676	36.8261	26.2585	7.694	3.8088	0.3927	3.0765	4.4746	1.3982
121697273	765.0	522.0	1578.0	2.883	0.504	0.09	0.017	5.0	0.5	177.0	176.0	27.7732	3.9102	13.6745	40.9179	27.2433	7.1027	3.8392	0.195	3.5425	4.6138	1.0713
130118047	739.0	513.0	1452.0	3.003	0.524	0.09	0.016	3.0	0.4	177.0	176.0	27.0851	4.6833	12.3603	45.5813	33.2209	5.7833	3.9287	0.3542	2.8916	4.6074	1.7159
131655018	578.0	398.0	892.0	2.576	0.4	0.102	0.016	4.0	0.4	177.0	176.0	23.8228	5.061	4.5841	35.2591	30.675	4.7071	3.902	0.1475	3.5268	4.386	0.8592
134279804	774.0	526.0	1420.0	2.984	0.474	0.114	0.024	7.0	0.7	177.0	176.0	26.5854	5.1183	11.2881	48.4764	37.1883	5.1942	4.1178	0.2976	3.5225	4.6821	1.1596
138434806	583.0	411.0	1069.0	2.758	0.46	0.098	0.013	3.0	0.3	177.0	176.0	26.2129	3.79	7.951	36.9224	28.9715	6.9163	4.202	0.4363	3.1554	4.8535	1.6981
154667058	873.0	583.0	1717.0	2.825	0.595	0.123	0.044	14.0	1.8	177.0	176.0	23.5223	7.8765	-7.7097	43.4022	51.1119	2.9864	4.8768	0.3302	3.9534	5.7306	1.7773
158779019	557.0	373.0	921.0	2.59	0.449	0.08	0.008	2.0	0.1	177.0	176.0	25.9699	2.851	15.4351	34.4862	19.051	9.1092	4.335	0.2893	3.7511	4.9697	1.2185
162526644	572.0	389.0	1267.0	3.027	0.485	0.094	0.013	4.0	0.3	177.0	176.0	23.9659	4.1566	4.4719	34.9986	30.5267	5.7657	4.0305	0.2696	3.5392	4.5102	0.971
163259093	577.0	379.0	956.0	2.627	0.461	0.078	0.008	2.0	0.2	177.0	176.0	27.815	2.5612	18.2074	36.4761	18.2687	10.8602	4.0242	0.284	3.413	4.4791	1.0661
176129790	565.0	389.0	945.0	2.687	0.393	0.085	0.011	3.0	0.3	177.0	176.0	26.4011	3.6994	8.0191	36.4173	28.3982	7.1366	3.8813	0.1186	3.6401	4.1172	0.4772
177928631	613.0	439.0	1041.0	2.722	0.367	0.096	0.013	3.0	0.4	177.0	176.0	25.4168	4.0018	9.2301	34.3426	25.1125	6.3513	3.7106	0.2534	3.0446	4.1812	1.1366
182017409	710.0	470.0	1205.0	2.725	0.278	0.075	0.011	2.0	0.3	177.0	176.0	26.7303	3.7596	10.1303	38.1799	28.0496	7.1098	4.703	0.216	3.8978	5.0993	1.2015
189913356	726.0	459.0	1178.0	2.754	0.546	0.141	0.055	11.0	1.6	177.0	176.0	20.3308	7.3451	-7.3748	51.9367	59.3115	2.7679	3.8029	0.1142	3.4973	4.1549	0.6576
190100766	694.0	485.0	1326.0	2.948	0.353	0.082	0.01	3.0	0.2	177.0	176.0	26.7323	3.6285	13.0458	36.2975	23.2516	7.3674	4.1982	0.4704	3.3961	5.0304	1.6343
192039987	500.0	365.0	948.0	2.727	0.499	0.1	0.018	3.0	0.3	177.0	176.0	21.0538	5.4721	0.1917	35.6219	35.4303	3.8475	3.9626	0.2981	2.8528	4.3923	1.5395
192271174	419.0	286.0	959.0	3.003	0.408	0.127	0.03	7.0	0.4	177.0	176.0	22.8541	6.2717	1.2151	34.8551	33.64	3.644	3.3709	0.3064	2.4408	3.7531	1.3123
192413932	796.0	546.0	1529.0	2.854	0.49	0.098	0.02	5.0	0.5	177.0	176.0	25.5174	4.7823	-0.4802	40.0879	40.5681	5.3359	4.1921	0.4761	2.8336	4.883	2.0493
194293030	803.0	532.0	1411.0	2.539	0.469	0.091	0.018	8.0	0.8	177.0	176.0	23.8726	5.8679	-1.0922	36.494	37.5862	4.0683	3.9231	0.3875	3.305	4.6736	1.3686
194324018	790.0	545.0	1481.0	2.662	0.433	0.121	0.025	9.0	0.7	177.0	176.0	24.7621	4.8005	4.8989	37.1794	32.2805	5.1582	4.7587	0.4309	3.9426	5.3659	1.4232
195168692	772.0	538.0	1548.0	2.704	0.544	0.099	0.02	4.0	0.7	177.0	176.0	26.4557	5.1736	7.0647	45.2118	38.147	5.1136	4.3933	0.2307	3.6087	4.7783	1.1697
198051119	482.0	333.0	836.0	2.696	0.386	0.1	0.019	4.0	0.3	177.0	176.0	25.4876	4.1339	9.2518	37.4419	28.19	6.1655	3.6394	0.2107	3.0509	3.9839	0.9329
199547104	581.0	412.0	1137.0	2.909	0.455	0.128	0.022	7.0	0.5	177.0	176.0	25.6824	5.33	11.4627	39.6934	28.2308	4.8185	4.0721	0.194	3.7293	4.6577	0.9284
199809850	617.0	423.0	1268.0	3.174	0.57	0.103	0.019	4.0	0.5	177.0	176.0	25.0046	4.4283	8.8662	40.812	31.9458	5.6465	3.6278	0.1178	3.2186	3.9386	0.72
200066829	561.0	367.0	987.0	2.727	0.456	0.093	0.014	4.0	0.3	177.0	176.0	23.625	4.7815	3.6171	35.2699	31.6528	4.9409	4.1111	0.4767	3.0792	4.8182	1.739
210534092	684.0	466.0	1255.0	2.91	0.513	0.095	0.015	4.0	0.5	177.0	176.0	25.8103	4.18	11.594	37.9282	26.3342	6.1747	4.1625	0.2947	3.6873	4.9119	1.2247
211169351	691.0	483.0	1092.0	2.419	0.434	0.067	0.007	2.0	0.2	177.0	176.0	26.4266	2.9201	13.0413	34.9745	21.9332	9.0499	4.2219	0.3983	3.1548	4.9103	1.7554
219325366	726.0	510.0	1338.0	2.861	0.441	0.089	0.015	4.0	0.4	177.0	176.0	26.2913	4.0196	7.1146	35.9366	28.822	6.5408	4.1398	0.2775	3.4843	4.7047	1.2204
221853583	647.0	422.0	1043.0	2.793	0.457	0.084	0.013	4.0	0.3	177.0	176.0	25.8342	3.9665	6.4107	38.6454	32.2347	6.5132	4.0012	0.3007	3.0706	4.55	1.4794
225017631	695.0	448.0	1031.0	2.568	0.503	0.077	0.016	3.0	0.4	177.0	176.0	24.4543	5.8268	3.1638	42.3262	39.1624	4.1969	4.4482	0.3399	3.4091	5.1006	1.6915
228519096	628.0	422.0	1148.0	3.035	0.56	0.101	0.018	5.0	0.5	177.0	176.0	26.1634	4.1719	8.8944	36.4866	27.5922	6.2713	3.9686	0.182	3.5861	4.3925	0.8065
232853819	618.0	432.0	1208.0	3.119	0.548	0.098	0.016	3.0	0.4	177.0	176.0	26.2342	3.6904	15.5978	41.186	25.5882	7.1087	3.8565	0.3946	3.1602	4.6609	1.5007
233205461	676.0	452.0	1283.0	2.959	0.603	0.087	0.011	2.0	0.4	177.0	176.0	27.2283	4.2438	7.7779	40.8109	33.033	6.416	3.7946	0.3288	3.1074	4.371	1.2636
233932345	612.0	435.0	1101.0	2.814	0.501	0.104	0.015	5.0	0.4	177.0	176.0	25.8134	4.1668	9.2758	42.7106	33.4348	6.195	4.1262	0.2067	3.5704	4.5274	0.9569
234528430	603.0	412.0	1141.0	3.048	0.48	0.106	0.022	4.0	0.6	177.0	176.0	24.0652	3.5452	10.3392	34.3087	23.9696	6.788	3.9159	0.5529	3.1067	4.7899	1.6832
235478560	695.0	476.0	1286.0	2.768	0.578	0.079	0.009	3.0	0.3	177.0	176.0	27.3176	4.5002	9.124	37.1066	27.9825	6.0703	3.3842	0.2482	2.6998	3.9557	1.256
248138276	605.0	403.0	1016.0	2.661	0.394	0.092	0.013	4.0	0.4	177.0	176.0	24.5945	3.5063	12.1646	36.1145	23.9499	7.0144	3.6449	0.2741	3.1631	4.2527	1.0896
248585929	643.0	441.0	1181.0	2.927	0.464	0.08	0.011	2.0	0.3	177.0	176.0	27.415	4.3175	11.4855	42.7964	31.3109	6.3498					
250211156	932.0	612.0	1765.0	3.162	0.517	0.112	0.019	8.0	0.7	177.0	176.0	26.3627	4.9449	10.5832	38.5465	27.9633	5.3313	4.4902	0.2477	3.8618	5.012	1.1502
253771324	638.0	450.0	1153.0	2.732	0.542	0.092	0.014	3.0	0.4	177.0	176.0	26.4497	3.7173	11.3969	39.7735	28.3766	7.1153	3.8172	0.3603	3.2309	4.4443	1.2135
254383703	526.0	358.0	998.0	3.024	0.493	0.086	0.014	2.0	0.3	177.0	176.0	25.1293	3.5	11.9595	33.9199	21.9604	7.1799	3.8154	0.3956	3.2305	4.4324	1.2019
255089519	544.0	393.0	972.0	2.734	0.381	0.099	0.012	3.0	0.3	177.0	176.0	26.572	2.8748	14.1067	35.2107	21.104	9.2432	3.6803	0.2589	2.9757	4.2068	1.2311
255246595	575.0	394.0	1106.0	2.916	0.383	0.099	0.018	4.0	0.4	177.0	176.0	25.9091	4.5083	11.2415	38.7639	27.5224	5.7469	4.5193	0.2083	3.8778	4.97	1.0923
