participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1392.0	894.0	3465.0	3.032	0.547	0.123	0.023	19.0	1.4	134.0	133.0	22.0408	4.5109	9.6051	33.6369	24.0317	4.8861	2.8205	0.4155	2.338	3.9479	1.6099
8454119	2185.0	1449.0	4962.0	2.974	0.705	0.129	0.029	41.0	2.6	134.0	133.0	21.4218	5.8882	1.5168	35.3514	33.8345	3.6381	3.2895	0.2579	2.9224	4.1831	1.2607
11407866	1784.0	1191.0	4863.0	3.134	0.753	0.123	0.031	26.0	2.0	134.0	133.0	20.9676	7.1613	-12.1027	36.8805	48.9832	2.9279	3.1718	0.2559	2.7561	4.0753	1.3192
11574123	1123.0	728.0	2893.0	2.996	0.924	0.132	0.034	16.0	1.7	134.0	133.0	18.999	6.7556	-3.6003	33.5092	37.1094	2.8124	3.1659	0.2695	2.7612	3.7318	0.9706
16684978	1137.0	749.0	2984.0	3.031	0.577	0.139	0.034	22.0	1.4	134.0	133.0	21.0431	5.4288	1.8612	35.1814	33.3202	3.8762	3.2513	0.1829	2.8288	3.777	0.9482
25354225	1552.0	925.0	3329.0	2.86	1.009	0.172	0.071	62.0	5.9	134.0	133.0	12.2051	10.2608	-19.5417	35.7756	55.3173	1.1895	3.3332	0.2979	2.8208	4.0841	1.2632
25811472	1457.0	923.0	3524.0	2.85	0.816	0.126	0.043	23.0	2.6	134.0	133.0	18.8567	5.9895	-5.6795	29.99	35.6695	3.1483	3.3956	0.2618	2.9392	4.1972	1.258
27876862	1125.0	746.0	3116.0	3.179	0.543	0.153	0.035	23.0	1.6	134.0	133.0	21.5033	5.4655	3.2166	36.5241	33.3075	3.9344	2.9121	0.2814	2.29	3.5545	1.2645
29811890	1897.0	1138.0	3949.0	2.883	0.739	0.123	0.039	24.0	3.1	134.0	133.0	18.7934	8.6811	-14.2349	39.9533	54.1881	2.1649	3.4602	0.3185	2.9917	4.297	1.3053
31361606	953.0	603.0	2150.0	2.919	0.966	0.137	0.042	14.0	1.6	134.0	133.0	18.4874	7.408	-18.779	32.1132	50.8922	2.4956	2.5718	0.1019	2.407	2.8498	0.4428
32938469	2065.0	1276.0	3177.0	2.286	0.756	0.135	0.052	41.0	4.6	134.0	133.0	15.932	8.8479	-47.8211	34.4025	82.2236	1.8007	3.2638	0.1753	2.9515	4.1614	1.21
