participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1642.0	1136.0	3456.0	2.776	0.617	0.127	0.027	22.0	1.9	135.0	134.0	24.2373	6.5161	-14.9552	39.4895	54.4447	3.7196	2.6638	0.2252	2.3082	3.1308	0.8226
8454119	2823.0	1786.0	5612.0	2.805	0.653	0.123	0.04	43.0	4.8	135.0	134.0	21.5759	8.1085	-8.775	41.88	50.655	2.6609	3.0271	0.2908	2.5102	3.6892	1.1789
11407866	1853.0	1220.0	3831.0	2.642	0.753	0.13	0.049	32.0	3.9	135.0	134.0	20.5722	7.7974	-9.9817	38.8309	48.8126	2.6383	2.8459	0.2674	2.2504	3.3283	1.078
11574123	1871.0	1208.0	3653.0	2.682	0.651	0.13	0.038	36.0	3.1	135.0	134.0	22.3809	7.2498	-2.9732	45.1281	48.1013	3.0871	2.747	0.1553	2.344	3.0719	0.7279
16684978	1225.0	807.0	2511.0	2.628	0.841	0.15	0.047	24.0	2.4	135.0	134.0	22.0209	7.3632	-36.6517	40.9096	77.5614	2.9907	2.8565	0.1171	2.4964	3.0486	0.5522
25354225	2058.0	1483.0	3726.0	2.472	0.812	0.152	0.059	40.0	6.0	135.0	134.0	17.2958	10.0923	-21.5154	43.8409	65.3563	1.7138	3.0842	0.1818	2.6413	3.4767	0.8354
25811472	1587.0	1067.0	3948.0	3.032	0.96	0.15	0.054	33.0	3.6	135.0	134.0	21.8421	7.7187	-27.7515	40.9821	68.7336	2.8298	2.8393	0.2069	2.5021	3.6209	1.1188
27876862	1456.0	951.0	2745.0	2.717	0.584	0.126	0.037	23.0	2.2	135.0	134.0	22.448	6.6939	-4.9326	35.9635	40.896	3.3535	2.3315	0.0557	2.1876	2.5276	0.3401
29811890	1377.0	902.0	2926.0	2.872	0.915	0.134	0.044	19.0	3.0	135.0	134.0	21.9316	10.1065	-11.9027	42.335	54.2377	2.1701	3.0749	0.2449	2.4526	3.4101	0.9575
31361606	1000.0	716.0	2334.0	2.935	0.633	0.131	0.036	18.0	1.3	135.0	134.0	25.0196	6.0262	-0.0116	43.1631	43.1747	4.1518	2.5339	0.0852	2.3267	2.8888	0.5621
32938469	2117.0	1300.0	3668.0	2.592	0.665	0.149	0.065	40.0	5.8	135.0	134.0	17.333	8.6543	-29.729	40.1477	69.8767	2.0028	2.9573	0.11	2.5654	3.1645	0.5991
