participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	460.0	314.0	679.0	2.407	0.269	0.09	0.015	2.0	0.3	142.0	141.0	21.9439	2.7872	12.1925	29.2284	17.0359	7.8732	3.2033	0.0225	3.1245	3.2517	0.1272
8454119	545.0	365.0	859.0	3.149	0.509	0.137	0.029	5.0	0.7	142.0	141.0	26.6164	3.7419	14.0367	36.2726	22.2359	7.1131	3.5831	0.14	3.1175	3.7993	0.6818
11407866	513.0	335.0	869.0	2.757	0.428	0.093	0.018	3.0	0.3	142.0	141.0	24.5962	4.3327	7.9309	36.3298	28.3989	5.6769	3.2186	0.1295	2.8959	3.396	0.5002
11574123	545.0	357.0	910.0	2.492	0.482	0.083	0.015	3.0	0.3	142.0	141.0	21.8363	4.883	6.0688	30.9095	24.8407	4.4719	3.2427	0.043	3.0886	3.32	0.2314
16684978	391.0	256.0	599.0	2.527	0.364	0.172	0.038	9.0	0.8	142.0	141.0	20.7878	7.2474	-0.8127	35.6251	36.4378	2.8683	3.4595	0.0606	3.3468	3.5284	0.1816
25354225	549.0	359.0	979.0	2.709	0.439	0.119	0.033	7.0	0.6	142.0	141.0	19.6875	6.2678	-1.708	34.093	35.801	3.1411	3.7196	0.0348	3.5599	3.767	0.2071
25811472	466.0	321.0	708.0	2.606	0.305	0.086	0.014	2.0	0.3	142.0	141.0	23.7989	3.1458	11.7858	31.3666	19.5808	7.5654	3.2421	0.0165	3.2034	3.2948	0.0914
27876862	401.0	264.0	647.0	2.564	0.323	0.125	0.024	5.0	0.4	142.0	141.0	19.997	4.5474	8.2848	32.0625	23.7776	4.3974	3.1548	0.0345	3.0238	3.242	0.2182
29811890	1208.0	802.0	1867.0	2.621	0.516	0.13	0.029	13.0	1.4	142.0	141.0	22.0548	6.7803	-0.8492	37.498	38.3472	3.2528	3.456	0.0766	3.317	3.6352	0.3181
31361606	288.0	193.0	447.0	2.43	0.297	0.109	0.016	2.0	0.2	142.0	141.0	23.4208	3.2117	14.3782	33.7373	19.3591	7.2923	2.9281	0.0445	2.7912	3.0238	0.2326
32938469	861.0	564.0	1469.0	2.797	0.532	0.13	0.025	13.0	1.0	142.0	141.0	22.0696	8.35	-6.4351	38.4292	44.8643	2.6431	3.888	0.0179	3.799	3.9263	0.1273
36895554	609.0	407.0	891.0	2.487	0.427	0.089	0.018	4.0	0.4	142.0	141.0	19.808	3.8087	6.9693	30.2115	23.2422	5.2007	3.3364	0.0508	3.1189	3.4025	0.2837
37329051	569.0	379.0	1165.0	2.934	0.415	0.12	0.027	8.0	0.6	142.0	141.0	21.7056	5.193	6.7206	32.5687	25.8482	4.1798	3.5351	0.0764	3.2576	3.6422	0.3846
37835493	512.0	343.0	796.0	2.542	0.278	0.111	0.021	4.0	0.5	142.0	141.0	21.0421	4.2379	5.2467	29.3945	24.1478	4.9652	3.2571	0.027	3.171	3.3104	0.1394
43606631	472.0	319.0	773.0	2.357	0.377	0.15	0.032	6.0	0.6	142.0	141.0	20.1241	4.0724	8.4189	31.1977	22.7787	4.9415	3.1753	0.0839	2.9476	3.2892	0.3416
49408975	433.0	296.0	859.0	2.786	0.39	0.127	0.027	5.0	0.5	142.0	141.0	20.5777	4.7263	-1.4342	28.8415	30.2756	4.3539	3.5131	0.0274	3.3971	3.5498	0.1526
51217255	432.0	290.0	722.0	2.749	0.355	0.109	0.018	3.0	0.4	142.0	141.0	21.6105	4.3796	5.5564	32.4912	26.9347	4.9344	2.9707	0.0453	2.834	3.0741	0.2401
52306425	577.0	361.0	1207.0	2.636	0.52	0.143	0.027	12.0	0.6	142.0	141.0	20.7211	5.4847	-7.5294	32.6228	40.1522	3.778	3.8016	0.1286	3.4989	3.9489	0.4501
52835891	421.0	283.0	629.0	2.63	0.402	0.116	0.026	3.0	0.4	142.0	141.0	22.5093	3.9682	10.276	32.2055	21.9295	5.6724	3.1093	0.0599	2.9229	3.2403	0.3174
55710183	725.0	495.0	1184.0	2.786	0.491	0.128	0.026	7.0	0.7	142.0	141.0	22.7955	4.2847	5.5814	32.3754	26.794	5.3202	3.5956	0.0778	3.3199	3.7739	0.454
56162563	356.0	264.0	547.0	2.417	0.25	0.121	0.018	2.0	0.3	142.0	141.0	24.1223	2.893	17.2177	34.9351	17.7173	8.3381	3.2463	0.0188	3.1469	3.292	0.1451
60021964	566.0	370.0	896.0	2.746	0.479	0.104	0.026	5.0	0.6	142.0	141.0	23.706	5.6667	-1.9744	37.0377	39.0122	4.1834	3.422	0.049	3.3148	3.572	0.2572
62582335	570.0	374.0	894.0	2.656	0.394	0.115	0.02	5.0	0.6	142.0	141.0	23.1696	5.022	5.715	32.302	26.587	4.6136	3.2532	0.0244	3.1288	3.3199	0.1911
65198031	401.0	279.0	531.0	2.474	0.409	0.137	0.029	4.0	0.5	142.0	141.0	21.667	4.054	9.4666	31.8894	22.4229	5.3446	3.2061	0.0674	3.0622	3.2788	0.2166
70214854	568.0	369.0	1020.0	2.41	0.521	0.123	0.03	8.0	0.7	142.0	141.0	20.6414	5.0677	5.0446	32.7852	27.7406	4.0731	3.2225	0.0404	3.0714	3.2721	0.2006
71851847	741.0	469.0	1138.0	2.667	0.349	0.076	0.015	4.0	0.3	142.0	141.0	24.5506	4.5714	6.5341	34.5569	28.0228	5.3705	3.5374	0.0486	3.4033	3.6167	0.2134
74920331	638.0	437.0	1157.0	2.484	0.461	0.154	0.031	10.0	0.8	142.0	141.0	18.1158	4.4546	3.9755	34.0538	30.0783	4.0668	3.4115	0.0392	3.2299	3.5038	0.2739
77390767	388.0	259.0	573.0	2.486	0.381	0.141	0.026	5.0	0.5	142.0	141.0	18.2049	5.1568	1.7245	28.0995	26.375	3.5303	3.2023	0.0814	2.8613	3.2613	0.4
