participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1130.0	682.0	1638.0	2.246	0.396	0.142	0.038	15.0	1.7	14.0	13.0	17.7363	4.6951	-4.4708	33.6074	38.0783	3.7776	2.7572	0.0787	2.5909	2.9014	0.3105
8454119	1536.0	947.0	2255.0	2.283	0.399	0.119	0.026	16.0	1.6	14.0	13.0	19.6351	4.5859	1.1531	30.9089	29.7558	4.2816	3.1295	0.1594	2.8065	3.8413	1.0348
11407866	987.0	633.0	1322.0	2.009	0.431	0.139	0.041	14.0	1.5	14.0	13.0	19.0408	5.5068	-2.8843	35.3066	38.1908	3.4577	2.8184	0.256	2.347	3.1846	0.8376
11574123	1001.0	588.0	1377.0	2.222	0.513	0.12	0.03	11.0	1.1	14.0	13.0	18.9947	5.7454	-1.6574	36.701	38.3584	3.3061	2.8763	0.1271	2.5811	3.3301	0.749
16684978	895.0	567.0	1187.0	1.995	0.444	0.141	0.032	11.0	1.2	14.0	13.0	18.9211	5.1779	-0.1368	33.1901	33.3269	3.6542	3.1526	0.0868	2.8919	3.2789	0.3869
25354225	870.0	522.0	1404.0	2.47	0.433	0.131	0.032	11.0	1.2	14.0	13.0	18.661	4.5551	5.2545	31.3896	26.1351	4.0967	3.1556	0.0483	3.04	3.354	0.314
25811472	922.0	576.0	1519.0	2.318	0.513	0.13	0.038	12.0	1.6	14.0	13.0	17.0872	5.7035	-24.9662	34.6879	59.6542	2.9959	2.7646	0.1374	2.4572	3.1162	0.659
27876862	675.0	417.0	895.0	2.079	0.499	0.14	0.029	9.0	0.8	14.0	13.0	17.8381	3.9767	2.7504	28.7572	26.0068	4.4857	2.757	0.058	2.6128	2.8986	0.2858
29811890	1248.0	755.0	1613.0	2.019	0.458	0.131	0.035	19.0	1.5	14.0	13.0	18.29	6.0647	-5.7256	35.5731	41.2987	3.0158	2.7989	0.1009	2.6363	3.0907	0.4543
31361606	768.0	484.0	1228.0	2.211	0.439	0.125	0.032	12.0	0.8	14.0	13.0	15.6408	4.516	2.411	29.4884	27.0774	3.4634	2.949	0.0416	2.8281	3.04	0.2118
32938469	1151.0	659.0	1398.0	1.959	0.424	0.138	0.044	17.0	2.1	14.0	13.0	15.6811	6.2475	-1.1511	33.4571	34.6081	2.51	3.2526	0.1182	2.9159	3.5241	0.6082
36895554	606.0	392.0	765.0	1.981	0.413	0.134	0.032	8.0	0.7	14.0	13.0	16.3082	4.3854	1.2343	26.5145	25.2802	3.7187	2.9777	0.0557	2.8507	3.0863	0.2356
37329051	595.0	399.0	1040.0	2.312	0.458	0.143	0.034	9.0	0.8	14.0	13.0	18.5285	4.1223	6.863	35.7036	28.8406	4.4947	3.0825	0.1165	2.8648	3.3743	0.5095
37835493	909.0	565.0	1124.0	1.956	0.518	0.134	0.029	12.0	1.1	14.0	13.0	16.7781	4.2413	2.033	28.7769	26.744	3.9559	2.7781	0.0646	2.4646	2.9007	0.4362
43606631	717.0	436.0	1024.0	2.093	0.446	0.162	0.034	13.0	1.0	14.0	13.0	18.1748	4.953	7.3827	29.9051	22.5223	3.6694	2.913	0.0491	2.8043	3.0936	0.2892
49408975	719.0	460.0	1021.0	2.063	0.571	0.136	0.035	10.0	0.9	14.0	13.0	16.8158	4.7229	2.1951	34.063	31.8679	3.5605	2.8962	0.0322	2.7975	2.9768	0.1792
51217255	672.0	442.0	928.0	2.195	0.296	0.127	0.022	7.0	0.7	14.0	13.0	19.4982	3.6896	8.8588	29.3394	20.4806	5.2846	3.1157	0.1155	2.9139	3.4015	0.4876
52306425	863.0	525.0	1087.0	1.767	0.492	0.114	0.023	9.0	0.8	14.0	13.0	18.0288	3.503	4.3642	30.3341	25.9699	5.1466	3.3082	0.0637	3.1274	3.4764	0.349
52835891	727.0	443.0	1293.0	2.439	0.406	0.116	0.022	7.0	0.6	14.0	13.0	16.429	3.4663	7.497	32.1922	24.6951	4.7396	2.862	0.0633	2.6287	3.0412	0.4125
55710183	788.0	498.0	1310.0	2.234	0.372	0.144	0.032	11.0	1.0	14.0	13.0	17.7276	3.9356	5.9645	29.6349	23.6704	4.5045	2.8522	0.0831	2.6062	3.0442	0.438
56162563	985.0	641.0	1550.0	2.197	0.42	0.113	0.026	9.0	1.0	14.0	13.0	17.1524	3.139	6.3146	27.3613	21.0467	5.4643	3.0438	0.0293	2.9357	3.1477	0.212
60021964	1017.0	643.0	1433.0	2.104	0.447	0.143	0.036	16.0	1.5	14.0	13.0	17.6978	5.2951	-1.105	31.1283	32.2332	3.3423	2.9364	0.1346	2.653	3.1854	0.5324
62582335	810.0	504.0	1228.0	2.171	0.393	0.14	0.033	11.0	1.2	14.0	13.0	17.2825	5.7387	-3.3897	28.7721	32.1618	3.0116	2.7816	0.1038	2.5437	3.0254	0.4817
65198031	785.0	502.0	1355.0	2.282	0.5	0.146	0.03	11.0	1.1	14.0	13.0	18.7586	4.6776	6.7323	30.4799	23.7476	4.0103	2.7059	0.0444	2.5601	2.7984	0.2383
70214854	611.0	403.0	1157.0	2.564	0.456	0.154	0.042	10.0	0.9	14.0	13.0	20.9124	5.408	7.3246	32.4254	25.1008	3.8669	2.8787	0.0508	2.771	2.9669	0.196
71851847	703.0	460.0	1050.0	2.113	0.527	0.137	0.041	7.0	1.1	14.0	13.0	16.9977	5.0453	-3.1649	30.5998	33.7647	3.369	3.0713	0.0789	2.9094	3.3082	0.3988
74920331	896.0	543.0	1099.0	1.904	0.431	0.105	0.019	7.0	0.7	14.0	13.0	16.102	3.254	5.7533	26.6137	20.8604	4.9484	3.01	0.0319	2.9205	3.0831	0.1626
77390767	866.0	510.0	1040.0	1.949	0.369	0.126	0.036	11.0	1.3	14.0	13.0	15.0868	5.3913	-4.0435	33.8219	37.8654	2.7984	2.7728	0.0464	2.703	2.8993	0.1963
78982423	853.0	526.0	1225.0	2.163	0.382	0.14	0.028	11.0	1.1	14.0	13.0	18.4428	4.947	-0.2196	34.7765	34.9961	3.7281	3.0255	0.1319	2.7639	3.2449	0.4811
80982198	751.0	483.0	1474.0	2.479	0.451	0.149	0.035	13.0	1.0	14.0	13.0	17.9692	4.462	3.7697	31.5383	27.7686	4.0272	3.2182	0.1131	3.0297	3.534	0.5043
82699044	1035.0	572.0	1270.0	1.98	0.443	0.122	0.03	12.0	1.3	14.0	13.0	14.7899	4.4233	-0.5746	27.9107	28.4853	3.3436	3.0479	0.1167	2.6038	3.2092	0.6054
84407714	778.0	507.0	1564.0	2.514	0.58	0.136	0.035	11.0	1.2	14.0	13.0	18.0309	3.8801	0.0593	28.3686	28.3092	4.6469	2.7659	0.078	2.5882	2.9234	0.3352
86226939	882.0	546.0	1541.0	2.356	0.532	0.138	0.029	12.0	1.1	14.0	13.0	17.9922	4.3194	5.3742	29.8763	24.5022	4.1654	2.9788	0.0625	2.8064	3.2283	0.4219
93800202	794.0	476.0	1335.0	2.426	0.538	0.136	0.04	11.0	1.1	14.0	13.0	17.631	5.906	-2.8773	30.7412	33.6186	2.9853	3.0342	0.1864	2.667	3.4213	0.7543
97005004	1447.0	865.0	2285.0	2.297	0.584	0.145	0.043	24.0	2.6	14.0	13.0	19.365	6.1657	-4.4263	43.9296	48.356	3.1407	3.1363	0.2068	2.7454	3.757	1.0116
100527940	812.0	489.0	1292.0	2.345	0.417	0.125	0.035	10.0	1.1	14.0	13.0	19.3483	6.7693	-4.7855	34.0013	38.7868	2.8582	3.1837	0.188	2.8261	3.601	0.7749
103652366	771.0	491.0	1086.0	2.096	0.553	0.156	0.036	12.0	1.1	14.0	13.0	17.7265	4.7553	4.4001	32.8372	28.4371	3.7277	2.8414	0.0299	2.7746	2.9981	0.2234
