participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	362.0	241.0	491.0	2.431	0.221	0.13	0.028	4.0	0.4	20.0	19.0	20.0813	3.4029	8.3529	31.1435	22.7906	5.9013	2.8092	0.0503	2.7439	2.9203	0.1764
8454119	547.0	364.0	735.0	2.478	0.227	0.118	0.023	4.0	0.5	20.0	19.0	22.75	3.975	7.9955	32.2486	24.2531	5.7233	3.1773	0.1561	2.9223	3.6885	0.7662
11407866	424.0	277.0	525.0	2.392	0.543	0.103	0.019	3.0	0.3	20.0	19.0	21.7558	3.4578	12.4625	31.8662	19.4038	6.2918	2.8238	0.1985	2.4249	3.228	0.8031
11574123	387.0	244.0	464.0	2.373	0.343	0.119	0.018	3.0	0.3	20.0	19.0	23.4984	3.3198	13.5511	32.5397	18.9886	7.0782	2.9388	0.0707	2.7017	3.0699	0.3682
16684978	292.0	193.0	422.0	2.229	0.312	0.132	0.038	4.0	0.3	20.0	19.0	20.5476	4.0811	12.501	29.1964	16.6955	5.0349	3.2866	0.1159	3.082	3.4264	0.3445
25354225	361.0	238.0	480.0	2.732	0.305	0.101	0.018	2.0	0.2	20.0	19.0	23.724	3.0022	15.3402	31.8979	16.5577	7.9022	3.265	0.0298	3.2039	3.375	0.1711
25811472	375.0	246.0	495.0	2.665	0.264	0.114	0.021	2.0	0.3	20.0	19.0	23.8659	2.9168	13.519	31.452	17.933	8.1822	2.9674	0.1769	2.5799	3.1948	0.6149
27876862	243.0	170.0	288.0	2.062	0.28	0.138	0.027	4.0	0.2	20.0	19.0	19.1909	4.4145	5.4284	28.3595	22.931	4.3472	2.855	0.0443	2.7731	2.9321	0.159
29811890	574.0	381.0	726.0	2.477	0.352	0.129	0.026	5.0	0.6	20.0	19.0	24.3403	4.047	7.9078	37.0587	29.1509	6.0144	2.8708	0.1171	2.6374	3.1459	0.5085
31361606	321.0	218.0	388.0	2.378	0.375	0.116	0.019	2.0	0.3	20.0	19.0	21.8817	3.0137	14.2223	30.6454	16.4232	7.2607	2.9645	0.0345	2.8893	3.0136	0.1242
32938469	364.0	229.0	465.0	2.617	0.31	0.122	0.026	4.0	0.4	20.0	19.0	22.8012	5.4684	6.4131	35.2069	28.7938	4.1697	3.4576	0.1314	3.148	3.5804	0.4323
36895554	285.0	195.0	310.0	2.15	0.366	0.135	0.032	3.0	0.3	20.0	19.0	19.0429	3.3724	10.0589	27.7903	17.7315	5.6467	3.1092	0.1319	2.9094	3.3629	0.4534
