participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	451.0	296.0	749.0	2.567	0.457	0.128	0.026	5.0	0.5	159.0	158.0	21.0815	4.0599	9.7718	30.5633	20.7916	5.1926	2.8801	0.0706	2.7127	3.0645	0.3518
8454119	788.0	435.0	1086.0	2.287	0.592	0.125	0.048	13.0	1.4	159.0	158.0	18.1775	6.1076	-4.1364	30.855	34.9914	2.9762	2.7525	0.1711	2.4917	3.1552	0.6635
11407866	364.0	239.0	622.0	2.521	0.318	0.124	0.033	4.0	0.5	159.0	158.0	22.0035	5.421	6.4917	40.7169	34.2251	4.0589	2.581	0.1301	2.3535	2.8045	0.4511
11574123	367.0	242.0	612.0	2.546	0.384	0.114	0.031	4.0	0.3	159.0	158.0	22.1205	4.7611	9.0231	33.906	24.8829	4.6461	2.8072	0.0608	2.6057	2.9409	0.3352
16684978	351.0	232.0	601.0	2.765	0.513	0.168	0.047	6.0	0.9	159.0	158.0	20.922	6.3201	-0.7697	36.2722	37.0418	3.3104	2.9059	0.1481	2.6457	3.1506	0.5049
25354225	503.0	314.0	896.0	2.693	0.419	0.103	0.031	4.0	0.5	159.0	158.0	20.0968	5.7526	1.0545	30.6512	29.5967	3.4935	3.1247	0.1144	2.8478	3.4202	0.5724
25811472	405.0	267.0	708.0	2.467	0.443	0.123	0.031	4.0	0.6	159.0	158.0	19.0648	5.6531	0.5019	29.8963	29.3944	3.3725	2.7446	0.1012	2.5527	3.0521	0.4994
27876862	298.0	211.0	518.0	2.423	0.238	0.12	0.023	4.0	0.3	159.0	158.0	19.8285	4.5531	7.6399	29.7589	22.119	4.3549	2.7962	0.0498	2.6181	2.8532	0.2351
29811890	571.0	386.0	1028.0	2.465	0.448	0.13	0.033	9.0	0.7	159.0	158.0	21.1819	5.6368	5.155	32.4663	27.3113	3.7578	2.8471	0.0934	2.6718	3.117	0.4453
31361606	261.0	187.0	357.0	2.306	0.36	0.128	0.022	2.0	0.3	159.0	158.0	22.6399	3.5314	6.6126	28.7792	22.1667	6.411	2.8804	0.1036	2.508	2.9754	0.4674
