participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	2784.0	1750.0	3995.0	2.088	0.475	0.146	0.037	43.0	3.9	6.0	5.0	17.094	4.0954	-10.659	28.7693	39.4282	4.174	2.6663	0.179	2.4251	3.2127	0.7877
8454119	3664.0	2233.0	5345.0	2.147	0.549	0.138	0.036	58.0	5.4	6.0	5.0	17.7644	6.2831	-26.9239	45.5853	72.5092	2.8273	2.999	0.4935	2.3742	4.4487	2.0745
11407866	2471.0	1473.0	3532.0	2.228	0.571	0.139	0.04	37.0	3.9	6.0	5.0	17.7788	6.362	-5.5618	35.1495	40.7113	2.7945	2.542	0.301	2.1583	3.2064	1.0481
11574123	2890.0	1812.0	4092.0	2.113	0.581	0.146	0.036	44.0	4.3	6.0	5.0	19.0213	5.741	-9.7215	41.5256	51.2471	3.3132	2.805	0.3821	2.3046	3.6583	1.3537
16684978	2368.0	1483.0	2970.0	1.88	0.521	0.151	0.043	38.0	3.9	6.0	5.0	17.3515	5.3338	-5.9734	35.0943	41.0678	3.2531	2.7536	0.2536	2.3788	3.2547	0.8758
25354225	2953.0	1844.0	4600.0	2.233	0.528	0.134	0.035	45.0	4.0	6.0	5.0	16.7035	5.4508	-5.2297	33.0952	38.3249	3.0644	2.9287	0.2562	2.5313	3.5428	1.0115
25811472	2922.0	1840.0	4339.0	2.181	0.465	0.142	0.036	44.0	4.2	6.0	5.0	17.7305	5.2735	-4.4602	34.3577	38.8179	3.3622	2.7266	0.3543	2.2551	3.5776	1.3225
27876862	1991.0	1317.0	2654.0	1.956	0.497	0.138	0.034	27.0	2.6	6.0	5.0	17.5982	4.6097	1.783	30.0528	28.2698	3.8176	2.5633	0.2085	2.2265	3.0077	0.7812
29811890	2860.0	1809.0	3870.0	1.987	0.512	0.149	0.038	47.0	4.3	6.0	5.0	18.9154	5.4539	-0.2812	37.9563	38.2375	3.4682	2.8101	0.2437	2.48	3.2551	0.7751
31361606	1876.0	1228.0	2976.0	2.232	0.53	0.133	0.03	22.0	2.2	6.0	5.0	18.1111	4.7702	-4.0511	33.3507	37.4018	3.7967	2.6409	0.2557	2.2548	3.0248	0.77
32938469	3158.0	2075.0	4159.0	2.002	0.572	0.161	0.05	51.0	7.2	6.0	5.0	16.839	6.5696	-11.6122	41.6603	53.2724	2.5632	2.7845	0.3814	2.0793	3.6001	1.5209
