participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	210.0	125.0	460.0	2.811	0.506	0.129	0.096	4.0	1.0	157.0	156.0	15.9812	5.6711	-1.2326	27.9008	29.1334	2.818	2.8748	0.127	2.6415	3.054	0.4125
8454119	270.0	156.0	588.0	2.865	0.736	0.126	0.043	4.0	0.5	157.0	156.0	17.3008	8.2813	-7.3565	32.3233	39.6798	2.0891	2.9647	0.1608	2.6409	3.2086	0.5677
11407866	216.0	132.0	431.0	3.034	0.311	0.13	0.031	4.0	0.2	157.0	156.0	20.0082	6.6815	3.0202	33.0838	30.0636	2.9945	2.7821	0.0824	2.6001	2.928	0.3279
11574123	315.0	167.0	465.0	2.575	0.433	0.103	0.029	7.0	0.4	157.0	156.0	19.9451	6.7471	-8.8074	32.4833	41.2907	2.9561	2.8606	0.1444	2.5892	3.1761	0.5869
16684978	177.0	103.0	331.0	2.611	0.349	0.153	0.062	4.0	0.3	157.0	156.0	16.8892	5.948	4.8806	33.5996	28.719	2.8395	2.9127	0.0635	2.7897	3.1314	0.3417
25354225	299.0	199.0	576.0	2.513	0.565	0.116	0.057	4.0	0.7	157.0	156.0	18.489	7.1934	0.3497	30.186	29.8363	2.5703	3.1644	0.0565	3.0134	3.3049	0.2914
25811472	335.0	158.0	586.0	2.882	0.339	0.106	0.041	4.0	0.6	157.0	156.0	19.0837	5.2436	7.216	33.2252	26.0092	3.6394	3.076	0.0772	2.8991	3.2427	0.3436
27876862	247.0	167.0	400.0	2.206	0.742	0.149	0.051	5.0	0.5	157.0	156.0	15.3135	6.9187	-1.1701	27.7374	28.9074	2.2133	2.5548	0.0952	2.4157	2.7767	0.361
29811890	379.0	159.0	611.0	2.742	0.504	0.101	0.033	4.0	0.5	157.0	156.0	14.3018	5.4456	0.7712	34.7079	33.9367	2.6263	3.1697	0.091	2.9118	3.346	0.4342
31361606	131.0	86.0	333.0	3.335	0.457	0.151	0.038	2.0	0.2	157.0	156.0	19.795	5.6749	5.9024	34.1315	28.229	3.4882	2.541	0.0598	2.4142	2.6634	0.2492
32938469	401.0	260.0	552.0	1.844	0.481	0.15	0.054	10.0	1.0	157.0	156.0	14.458	7.2198	-2.2956	29.5189	31.8145	2.0025	3.1465	0.1066	2.9234	3.3208	0.3973
36895554	276.0	176.0	675.0	2.68	0.519	0.151	0.028	4.0	0.3	157.0	156.0	17.385	4.8801	3.3199	31.2512	27.9312	3.5624	2.7298	0.1368	2.5392	3.1014	0.5622
37329051	267.0	171.0	607.0	2.64	0.545	0.122	0.026	4.0	0.3	157.0	156.0	18.522	5.4124	5.6108	30.0317	24.4209	3.4222	3.0277	0.11	2.7243	3.2433	0.519
37835493	244.0	159.0	501.0	2.459	0.421	0.102	0.013	2.0	0.1	157.0	156.0	19.4019	3.3467	10.6952	25.5099	14.8147	5.7974	2.796	0.054	2.6577	2.8964	0.2388
43606631	180.0	109.0	385.0	2.934	0.611	0.144	0.038	3.0	0.3	157.0	156.0	20.0786	3.9159	10.5231	30.5945	20.0714	5.1274	2.848	0.0542	2.7299	2.9278	0.1979
49408975	247.0	146.0	639.0	2.91	0.407	0.135	0.031	5.0	0.3	157.0	156.0	15.7857	4.9253	0.0518	26.261	26.2092	3.205	2.8775	0.0889	2.7052	3.0507	0.3456
51217255	244.0	140.0	604.0	3.069	0.333	0.145	0.028	4.0	0.2	157.0	156.0	19.402	3.3745	10.3915	28.6575	18.2661	5.7496	2.777	0.0454	2.6889	2.9026	0.2137
52306425	276.0	177.0	524.0	2.335	0.379	0.14	0.036	4.0	0.3	157.0	156.0	17.1733	5.1096	4.4348	33.2935	28.8587	3.361	3.5855	0.1556	3.1056	3.8405	0.7349
52835891	237.0	149.0	589.0	2.997	0.493	0.138	0.03	3.0	0.3	157.0	156.0	17.0234	3.5358	8.7596	24.3181	15.5584	4.8146	2.8033	0.0671	2.7025	2.9982	0.2957
55710183	321.0	190.0	632.0	2.521	0.392	0.123	0.028	5.0	0.3	157.0	156.0	15.8067	4.5932	5.4838	25.7444	20.2607	3.4414	3.3516	0.0882	3.1348	3.6392	0.5045
