participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	526.0	336.0	882.0	2.418	0.423	0.135	0.023	6.0	0.6	50.0	49.0	20.9155	4.1788	7.909	36.4215	28.5124	5.0052	3.1029	0.0686	2.9142	3.2436	0.3294
8454119	308.0	231.0	747.0	2.867	0.485	0.168	0.037	7.0	0.5	50.0	49.0	28.4305	8.6947	7.5411	45.9885	38.4473	3.2699	3.0309	0.1757	2.7628	3.5625	0.7996
11407866	404.0	276.0	966.0	3.0	0.519	0.135	0.021	5.0	0.4	50.0	49.0	25.5047	4.649	14.2647	40.0861	25.8214	5.4861	2.8685	0.0819	2.6928	3.1722	0.4794
11574123	402.0	259.0	720.0	2.272	0.734	0.143	0.033	7.0	0.5	50.0	49.0	24.5665	4.7923	8.8641	37.3577	28.4936	5.1262	3.112	0.0656	2.8616	3.2541	0.3926
16684978	347.0	221.0	674.0	2.375	0.599	0.159	0.037	9.0	0.5	50.0	49.0	19.6803	5.3365	-1.7953	33.543	35.3383	3.6879	3.261	0.1468	2.9488	3.4216	0.4728
25354225	264.0	187.0	941.0	3.27	0.616	0.148	0.033	6.0	0.4	50.0	49.0	23.2207	6.766	6.3667	42.5505	36.1838	3.432	2.7674	0.0838	2.5733	3.0196	0.4463
25811472	415.0	276.0	974.0	2.712	0.51	0.138	0.027	6.0	0.4	50.0	49.0	21.8427	4.8057	10.0023	36.8519	26.8496	4.5451	3.1182	0.106	2.8775	3.3207	0.4431
27876862	192.0	131.0	467.0	2.75	0.53	0.142	0.029	2.0	0.2	50.0	49.0	21.2645	3.8595	10.8	29.8768	19.0769	5.5096	2.6923	0.0473	2.5471	2.7969	0.2498
29811890	343.0	241.0	638.0	2.169	0.592	0.124	0.021	4.0	0.3	50.0	49.0	24.5271	4.5226	12.3464	38.5916	26.2452	5.4233	3.0316	0.0705	2.8436	3.1455	0.3019
31361606	364.0	241.0	770.0	2.448	0.456	0.143	0.025	7.0	0.4	50.0	49.0	20.6436	4.325	8.0918	30.3128	22.2209	4.773	2.954	0.1328	2.7495	3.242	0.4925
32938469	234.0	155.0	440.0	2.373	0.323	0.101	0.021	3.0	0.2	50.0	49.0	16.7547	5.8927	3.9581	31.5478	27.5897	2.8433	3.3436	0.0849	3.2223	3.5221	0.2998
36895554	349.0	245.0	879.0	2.6	0.534	0.147	0.026	7.0	0.4	50.0	49.0	21.2855	3.4648	11.6285	31.0425	19.414	6.1433	2.679	0.0652	2.5904	2.9167	0.3264
37329051	377.0	249.0	1024.0	2.811	0.551	0.201	0.084	14.0	1.7	50.0	49.0	23.4133	7.7017	3.6033	43.0897	39.4864	3.04	3.1741	0.0958	2.994	3.4683	0.4742
