participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	529.0	339.0	1274.0	2.709	0.465	0.126	0.03	11.0	0.6	164.0	163.0	19.2963	5.3787	2.414	33.9597	31.5457	3.5875	2.925	0.1125	2.6519	3.0599	0.408
8454119	850.0	536.0	2140.0	3.026	0.494	0.122	0.031	15.0	1.1	164.0	163.0	20.6989	6.1239	3.2792	37.0968	33.8176	3.38	3.1597	0.2136	2.7633	3.4603	0.697
11407866	644.0	417.0	1869.0	3.34	0.452	0.108	0.019	11.0	0.5	164.0	163.0	20.7039	5.23	2.7873	34.9666	32.1793	3.9587	2.6655	0.0301	2.5513	2.7823	0.231
11574123	651.0	412.0	1585.0	2.905	0.404	0.105	0.02	9.0	0.6	164.0	163.0	19.9097	4.9852	1.3543	34.3689	33.0146	3.9938	2.7596	0.0314	2.7067	2.8895	0.1827
16684978	433.0	284.0	914.0	2.887	0.439	0.16	0.043	8.0	0.8	164.0	163.0	19.8225	5.6612	7.1656	37.3236	30.158	3.5015	2.6169	0.0265	2.5527	2.6937	0.141
25354225	809.0	516.0	2205.0	3.284	0.54	0.117	0.028	15.0	0.9	164.0	163.0	18.9451	6.5195	0.9531	37.3542	36.4011	2.9059	2.9078	0.0348	2.8184	3.0118	0.1935
25811472	686.0	442.0	1923.0	3.434	0.481	0.136	0.032	11.0	0.8	164.0	163.0	20.9411	5.49	1.5586	35.0088	33.4502	3.8144	2.988	0.0586	2.8643	3.1471	0.2828
27876862	490.0	338.0	1214.0	2.685	0.356	0.123	0.033	10.0	0.6	164.0	163.0	18.0059	5.4746	2.1393	32.2256	30.0863	3.289	2.643	0.0542	2.4805	2.7384	0.2579
29811890	892.0	597.0	2430.0	3.191	0.451	0.132	0.031	15.0	1.1	164.0	163.0	20.5312	5.9311	-5.7396	35.8298	41.5694	3.4616	3.0488	0.0385	2.9039	3.1977	0.2937
31361606	537.0	357.0	1189.0	2.878	0.569	0.123	0.026	10.0	0.5	164.0	163.0	19.5234	6.5372	0.0311	41.2101	41.179	2.9865	2.5213	0.0677	2.3797	2.6317	0.2519
32938469	445.0	311.0	1417.0	3.31	0.438	0.136	0.038	10.0	0.6	164.0	163.0	16.8602	5.7589	-9.3974	30.6579	40.0553	2.9277	2.9653	0.0943	2.704	3.109	0.4049
36895554	551.0	351.0	1321.0	2.95	0.471	0.136	0.034	11.0	0.8	164.0	163.0	18.5083	6.3141	1.5703	35.1699	33.5996	2.9313	2.7619	0.1014	2.5466	2.9348	0.3883
37329051	775.0	573.0	2006.0	2.893	0.43	0.146	0.025	19.0	0.9	164.0	163.0	21.3183	6.1368	-2.4589	35.6646	38.1235	3.4738	2.8494	0.0243	2.7751	2.919	0.1439
37835493	640.0	427.0	1571.0	2.852	0.429	0.125	0.022	15.0	0.6	164.0	163.0	19.4237	5.7457	2.7109	32.8098	30.099	3.3805	2.713	0.0368	2.614	2.8246	0.2106
43606631	587.0	386.0	1379.0	2.91	0.439	0.141	0.03	11.0	0.7	164.0	163.0	20.5797	5.3303	1.1595	33.5898	32.4304	3.8609	2.5764	0.0474	2.4938	2.6941	0.2003
49408975	519.0	340.0	1190.0	2.886	0.521	0.117	0.03	8.0	0.5	164.0	163.0	18.8576	5.2384	2.7437	31.9543	29.2106	3.5999	2.5234	0.0403	2.4084	2.633	0.2246
51217255	611.0	407.0	1709.0	3.169	0.433	0.119	0.025	10.0	0.6	164.0	163.0	20.0559	6.0691	2.9534	35.8527	32.8992	3.3046	2.8199	0.0776	2.6785	2.9718	0.2933
52306425	577.0	385.0	1363.0	2.618	0.401	0.14	0.025	19.0	0.5	164.0	163.0	18.9561	5.2473	1.8758	32.485	30.6092	3.6125	2.8961	0.057	2.7675	3.0146	0.2471
52835891	569.0	372.0	1443.0	3.236	0.408	0.121	0.026	9.0	0.7	164.0	163.0	21.0844	5.3317	4.6314	36.2168	31.5855	3.9546	2.5348	0.0424	2.437	2.6655	0.2285
55710183	748.0	475.0	1746.0	2.805	0.463	0.129	0.031	33.0	0.8	164.0	163.0	19.0639	6.1302	-10.4033	37.0098	47.4131	3.1099	2.8197	0.0531	2.6374	2.9187	0.2813
56162563	779.0	549.0	2029.0	2.864	0.605	0.115	0.04	14.0	1.3	164.0	163.0	20.2065	7.1576	-6.0067	39.9157	45.9224	2.8231	2.9056	0.1004	2.688	3.1575	0.4695
60021964	695.0	424.0	1744.0	3.337	0.536	0.118	0.024	11.0	0.7	164.0	163.0	22.175	5.4979	1.138	35.4543	34.3163	4.0333	2.9903	0.1261	2.7478	3.2073	0.4595
62582335	634.0	437.0	1691.0	2.988	0.518	0.11	0.027	12.0	0.6	164.0	163.0	18.1047	6.037	-0.7105	34.2706	34.981	2.999	2.9607	0.0856	2.7186	3.0783	0.3596
65198031	575.0	368.0	1294.0	2.771	0.436	0.134	0.031	11.0	0.8	164.0	163.0	19.4454	5.6112	1.4574	34.6986	33.2413	3.4655	2.6341	0.0683	2.5061	2.8023	0.2963
70214854	551.0	353.0	1258.0	2.742	0.602	0.138	0.044	9.0	0.8	164.0	163.0	19.6133	5.9608	-18.3122	33.8918	52.204	3.2904	2.6777	0.0792	2.5034	2.8164	0.313
71851847	616.0	397.0	1607.0	3.37	0.536	0.131	0.035	11.0	0.9	164.0	163.0	20.8608	6.2531	-1.3938	35.5436	36.9374	3.3361	2.6627	0.0283	2.6129	2.8035	0.1907
74920331	616.0	409.0	1723.0	3.215	0.453	0.12	0.026	10.0	0.7	164.0	163.0	20.5981	5.2531	3.5982	32.5319	28.9337	3.9211	2.835	0.1271	2.6205	3.0866	0.4661
77390767	544.0	344.0	1287.0	2.668	0.388	0.134	0.046	17.0	0.9	164.0	163.0	16.8572	6.1663	-15.8025	34.5626	50.3651	2.7338	2.6537	0.0605	2.5133	2.7836	0.2703
78982423	544.0	345.0	1156.0	2.767	0.451	0.134	0.022	12.0	0.6	164.0	163.0	21.2493	5.8529	-0.1654	34.5235	34.6889	3.6305	2.5318	0.0477	2.4106	2.6192	0.2086
80982198	486.0	313.0	1362.0	3.04	0.51	0.133	0.028	11.0	0.6	164.0	163.0	18.1764	6.0916	4.1003	35.167	31.0667	2.9838	2.8181	0.061	2.6759	2.97	0.2941
82699044	538.0	343.0	1341.0	2.863	0.395	0.113	0.021	10.0	0.5	164.0	163.0	19.0583	5.1762	-3.1351	33.4245	36.5596	3.6819	2.834	0.0864	2.6855	3.0253	0.3398
84407714	523.0	355.0	1320.0	3.101	0.404	0.132	0.024	9.0	0.5	164.0	163.0	21.6879	4.7382	10.7691	37.6832	26.9141	4.5772	2.5678	0.1046	2.4163	2.763	0.3467
86226939	657.0	435.0	1601.0	3.099	0.419	0.12	0.029	10.0	0.7	164.0	163.0	20.8912	5.9855	6.5838	34.8328	28.249	3.4903	2.6817	0.0357	2.61	2.7984	0.1884
93800202	665.0	431.0	1532.0	3.058	0.502	0.134	0.028	11.0	0.7	164.0	163.0	21.1197	5.7461	0.9664	33.1725	32.2061	3.6755	2.5245	0.016	2.4812	2.5724	0.0912
