participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	630.0	409.0	1091.0	2.336	0.52	0.125	0.036	13.0	0.8	90.0	89.0	22.5838	7.4376	-1.5248	38.2399	39.7646	3.0364	2.3153	0.09	2.1577	2.5589	0.4012
8454119	808.0	520.0	1516.0	2.549	0.523	0.135	0.05	11.0	1.6	90.0	89.0	23.9608	8.8977	-23.7714	42.3899	66.1612	2.6929	2.4384	0.0795	2.2748	2.6459	0.371
11407866	590.0	409.0	1410.0	2.762	0.584	0.121	0.027	9.0	0.6	90.0	89.0	27.0661	5.4522	10.5034	36.8159	26.3126	4.9642	2.3196	0.0827	2.1698	2.5642	0.3944
11574123	544.0	369.0	1039.0	2.286	0.683	0.126	0.029	8.0	0.9	90.0	89.0	25.0489	5.7859	-0.4103	36.8893	37.2996	4.3293	2.4243	0.0637	2.342	2.6764	0.3344
16684978	467.0	300.0	918.0	2.549	0.536	0.136	0.047	7.0	1.0	90.0	89.0	21.5113	9.0733	-11.7462	34.7261	46.4723	2.3708	2.4124	0.0642	2.3091	2.5614	0.2523
25354225	635.0	410.0	1441.0	2.763	0.644	0.156	0.047	17.0	1.3	90.0	89.0	23.0799	7.8436	-3.5082	38.549	42.0572	2.9425	2.4427	0.1441	2.2406	2.7355	0.4949
25811472	669.0	473.0	1426.0	3.038	0.644	0.155	0.036	13.0	1.0	90.0	89.0	25.41	6.5629	4.9511	38.9329	33.9817	3.8717	2.3377	0.0636	2.1954	2.499	0.3036
27876862	420.0	283.0	864.0	2.566	0.656	0.161	0.074	14.0	1.2	90.0	89.0	22.714	6.7525	0.1403	39.5891	39.4488	3.3638	2.1144	0.0389	2.0348	2.272	0.2372
29811890	700.0	447.0	1631.0	2.844	0.663	0.121	0.038	13.0	1.1	90.0	89.0	22.9369	7.2085	-12.5053	38.3028	50.8081	3.1819	2.4245	0.1296	2.161	2.6253	0.4643
31361606	755.0	505.0	1552.0	2.542	0.488	0.146	0.033	14.0	1.1	90.0	89.0	23.0008	5.9336	-1.6413	35.4762	37.1174	3.8764	2.4814	0.1705	2.2144	2.8059	0.5915
