participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1350.0	885.0	3043.0	2.76	0.561	0.137	0.029	20.0	1.8	78.0	77.0	23.497	4.9931	7.6392	36.7524	29.1132	4.7059	2.691	0.1632	2.4289	3.2457	0.8168
8454119	1664.0	1108.0	4052.0	2.826	0.615	0.148	0.043	38.0	3.0	78.0	77.0	21.3324	7.6683	-31.5756	41.3532	72.9288	2.7819	3.0215	0.3192	2.4725	4.2352	1.7627
11407866	1255.0	889.0	3314.0	3.014	0.605	0.142	0.03	25.0	1.4	78.0	77.0	24.0322	6.7834	3.136	38.7155	35.5795	3.5428	2.7521	0.251	2.3893	3.7442	1.3549
11574123	1177.0	803.0	2441.0	2.669	0.608	0.138	0.029	19.0	1.5	78.0	77.0	24.8928	6.1283	-2.5136	39.4334	41.947	4.062	2.7325	0.1486	2.4685	3.3776	0.9091
16684978	915.0	597.0	1884.0	2.709	0.647	0.149	0.033	16.0	1.3	78.0	77.0	21.4745	6.4703	2.1732	35.9087	33.7355	3.3189	2.7839	0.1973	2.4902	3.4852	0.995
25354225	1235.0	908.0	3691.0	3.16	0.602	0.149	0.034	23.0	1.9	78.0	77.0	24.7064	6.2248	-10.762	42.1762	52.9382	3.969	2.7699	0.0917	2.4721	3.2042	0.7321
25811472	1290.0	916.0	3797.0	3.199	0.665	0.156	0.045	27.0	2.5	78.0	77.0	23.8479	6.8102	-0.8204	39.9598	40.7802	3.5018	2.9608	0.3374	2.3722	3.6298	1.2576
27876862	886.0	586.0	2149.0	2.808	0.554	0.142	0.034	15.0	1.3	78.0	77.0	22.3878	5.4732	4.8792	35.3748	30.4956	4.0904	2.408	0.1177	2.1545	2.7422	0.5877
29811890	1193.0	782.0	2719.0	3.075	0.638	0.126	0.035	15.0	1.8	78.0	77.0	26.3211	6.9182	-10.9001	41.1389	52.039	3.8046	2.6645	0.1138	2.4748	2.9736	0.4988
31361606	1028.0	713.0	2329.0	2.818	0.646	0.155	0.036	18.0	1.6	78.0	77.0	24.1582	5.8513	3.6439	38.2225	34.5786	4.1287	3.183	0.2406	2.7316	3.8609	1.1294
32938469	1092.0	742.0	2289.0	2.558	0.634	0.149	0.052	23.0	1.9	78.0	77.0	19.3937	7.0452	-4.5832	36.9666	41.5498	2.7527	2.9862	0.1207	2.6644	3.2738	0.6093
36895554	988.0	697.0	2313.0	2.797	0.748	0.175	0.048	27.0	2.5	78.0	77.0	22.3638	6.3382	-3.8794	36.9129	40.7922	3.5284	2.7468	0.1764	2.4128	3.2491	0.8363
37329051	1053.0	738.0	2918.0	2.978	0.735	0.157	0.052	24.0	2.0	78.0	77.0	23.5471	6.8337	0.8475	39.3507	38.5032	3.4457	3.1346	0.1571	2.7905	3.4787	0.6882
37835493	1052.0	689.0	2136.0	2.722	0.594	0.133	0.027	15.0	1.3	78.0	77.0	23.2477	5.4248	0.4584	35.2222	34.7638	4.2854	2.575	0.1045	2.4053	2.8989	0.4935
43606631	1076.0	709.0	2064.0	2.525	0.535	0.172	0.054	25.0	2.5	78.0	77.0	23.8581	6.9777	-3.0595	40.7147	43.7742	3.4192	2.6786	0.1318	2.4164	3.2456	0.8292
49408975	1091.0	775.0	3148.0	3.063	0.754	0.173	0.049	28.0	2.5	78.0	77.0	21.7388	6.523	-11.0689	38.4591	49.5279	3.3326	2.6817	0.2032	2.265	3.3079	1.0429
51217255	1076.0	744.0	2712.0	3.031	0.494	0.152	0.039	19.0	1.7	78.0	77.0	24.4739	5.7133	7.2718	38.925	31.6532	4.2836	2.9988	0.3493	2.5318	4.2533	1.7215
52306425	1309.0	883.0	2617.0	2.449	0.591	0.134	0.03	21.0	1.6	78.0	77.0	24.2095	5.9532	-3.869	37.9556	41.8247	4.0666	2.8513	0.1355	2.5896	3.3974	0.8079
52835891	1083.0	721.0	2781.0	2.918	0.768	0.145	0.043	24.0	2.1	78.0	77.0	23.9772	6.8881	-11.3655	39.2966	50.6621	3.481	2.6244	0.1368	2.2823	2.9425	0.6603
55710183	1360.0	828.0	2703.0	2.736	0.536	0.135	0.032	24.0	1.7	78.0	77.0	22.1875	6.5956	-1.3342	36.2243	37.5585	3.364	2.7676	0.1263	2.5069	3.163	0.6561
56162563	1064.0	720.0	2357.0	2.795	0.557	0.136	0.029	17.0	1.3	78.0	77.0	26.8548	6.0348	5.1619	42.9196	37.7577	4.45	2.5882	0.1316	2.3231	2.9606	0.6375
60021964	1196.0	792.0	2910.0	2.848	0.582	0.136	0.03	21.0	1.5	78.0	77.0	24.0991	6.3603	0.6747	38.2362	37.5615	3.789	2.8732	0.1805	2.5572	3.3687	0.8115
62582335	1178.0	773.0	2816.0	2.984	0.508	0.132	0.029	18.0	1.3	78.0	77.0	25.1224	5.0302	9.1118	37.5303	28.4185	4.9943	2.8803	0.219	2.5848	3.7375	1.1527
65198031	1146.0	762.0	2597.0	2.84	0.493	0.151	0.036	21.0	1.8	78.0	77.0	23.8729	5.7037	2.6363	39.0766	36.4403	4.1855	2.8127	0.1868	2.4745	3.1954	0.7209
70214854	1057.0	736.0	2605.0	2.707	0.592	0.139	0.031	20.0	1.3	78.0	77.0	25.4054	5.8978	3.0653	40.8482	37.7829	4.3076	2.5165	0.1163	2.3047	2.8449	0.5402
71851847	1230.0	851.0	3046.0	3.081	0.562	0.144	0.036	21.0	1.7	78.0	77.0	25.9533	5.6497	3.7004	38.7924	35.092	4.5938	3.0116	0.2743	2.5327	3.6865	1.1538
74920331	1210.0	770.0	2829.0	2.907	0.59	0.124	0.022	16.0	1.2	78.0	77.0	24.3862	4.5582	5.896	38.3855	32.4896	5.3499	2.8038	0.1639	2.5485	3.3793	0.8308
77390767	1271.0	842.0	2977.0	2.736	0.683	0.138	0.031	23.0	1.7	78.0	77.0	23.4518	6.5661	2.3403	39.0536	36.7133	3.5716	2.8064	0.1598	2.5048	3.2294	0.7246
78982423	1003.0	616.0	2025.0	2.577	0.581	0.143	0.049	20.0	2.1	78.0	77.0	21.2956	6.9642	-8.2042	37.2564	45.4606	3.0579	2.5158	0.1594	2.2654	2.9537	0.6883
80982198	1122.0	777.0	2690.0	2.868	0.661	0.159	0.046	30.0	2.4	78.0	77.0	24.8661	6.9804	-2.1878	42.1567	44.3445	3.5623	3.1049	0.2333	2.7663	3.9672	1.2009
82699044	1187.0	749.0	2464.0	2.741	0.598	0.124	0.025	16.0	1.1	78.0	77.0	24.5077	5.4581	5.7027	41.9247	36.2219	4.4901	2.6729	0.1304	2.4306	3.0928	0.6622
84407714	1258.0	827.0	3027.0	2.97	0.637	0.153	0.038	25.0	2.0	78.0	77.0	21.8407	5.728	5.7816	35.9784	30.1968	3.8129	2.5327	0.143	2.2669	3.1013	0.8343
86226939	1034.0	707.0	2408.0	2.882	0.756	0.148	0.046	21.0	1.7	78.0	77.0	20.81	8.0361	-3.661	38.0879	41.749	2.5896	2.6363	0.1644	2.3389	3.0817	0.7429
93800202	922.0	611.0	2573.0	3.075	0.655	0.124	0.03	17.0	1.1	78.0	77.0	22.7847	6.7138	3.8689	35.9629	32.094	3.3937	2.8874	0.1786	2.6207	3.6148	0.9941
97005004	1505.0	1023.0	3520.0	2.809	0.707	0.13	0.031	27.0	1.6	78.0	77.0	24.3398	6.6307	2.5845	41.8722	39.2877	3.6708	2.9561	0.1555	2.6474	3.39	0.7426
100527940	1185.0	767.0	3189.0	3.052	0.744	0.152	0.056	28.0	3.1	78.0	77.0	22.5122	8.1424	-4.6245	42.8494	47.4739	2.7648	2.8248	0.1643	2.494	3.4288	0.9348
103652366	938.0	638.0	2347.0	2.938	0.563	0.146	0.036	18.0	1.3	78.0	77.0	23.213	6.7718	-8.9161	40.3328	49.2489	3.4279	2.8003	0.2016	2.5024	3.3341	0.8317
