participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	945.0	612.0	2046.0	2.807	0.497	0.137	0.031	16.0	1.1	86.0	85.0	21.727	5.6779	7.943	36.5087	28.5657	3.8266	2.9912	0.1798	2.6731	3.4355	0.7624
8454119	1290.0	809.0	2560.0	2.651	0.414	0.118	0.032	18.0	1.5	86.0	85.0	21.648	6.8133	-0.5571	40.6446	41.2017	3.1773	3.6743	0.3623	2.9915	4.5584	1.5669
11407866	862.0	534.0	2016.0	3.005	0.577	0.132	0.027	15.0	0.9	86.0	85.0	25.2822	6.0558	8.5456	37.6516	29.106	4.1749	2.8402	0.177	2.5567	3.1547	0.598
11574123	765.0	504.0	1707.0	2.601	0.553	0.129	0.028	15.0	0.8	86.0	85.0	22.8057	6.5938	-1.5885	39.0309	40.6193	3.4587	2.962	0.1089	2.6755	3.227	0.5515
16684978	684.0	412.0	1131.0	2.383	0.537	0.119	0.033	10.0	0.8	86.0	85.0	21.0428	7.8601	-1.0969	38.8186	39.9155	2.6772	2.9246	0.1038	2.6399	3.0676	0.4276
25354225	985.0	591.0	2383.0	2.997	0.53	0.139	0.049	20.0	2.2	86.0	85.0	20.4328	8.0019	-6.0705	40.6688	46.7393	2.5535	3.1609	0.167	2.8299	3.5264	0.6965
25811472	740.0	500.0	1947.0	3.077	0.621	0.137	0.034	12.0	1.0	86.0	85.0	22.048	6.5859	1.8978	35.7963	33.8985	3.3478	3.0229	0.1062	2.7522	3.3299	0.5777
27876862	520.0	358.0	1458.0	2.82	0.81	0.192	0.08	13.0	2.1	86.0	85.0	20.8036	7.4789	3.065	35.8015	32.7365	2.7816	2.5623	0.1124	2.3395	2.8131	0.4737
29811890	844.0	573.0	2017.0	2.937	0.468	0.143	0.033	16.0	1.1	86.0	85.0	24.9559	6.878	5.278	41.7611	36.4831	3.6284	2.9088	0.141	2.5705	3.3446	0.774
31361606	521.0	364.0	1331.0	2.883	0.503	0.155	0.04	9.0	0.9	86.0	85.0	22.3075	5.7522	5.649	36.7967	31.1478	3.8781	3.3401	0.2164	2.8001	3.7013	0.9012
32938469	794.0	484.0	1560.0	2.61	0.729	0.141	0.046	13.0	1.5	86.0	85.0	18.7484	7.642	-2.4018	39.2769	41.6787	2.4533	3.312	0.1472	2.958	3.6107	0.6527
36895554	696.0	472.0	1506.0	2.678	0.599	0.153	0.033	14.0	1.1	86.0	85.0	22.5676	6.1774	5.4933	35.0424	29.5491	3.6533	2.9951	0.1369	2.5877	3.4741	0.8864
37329051	576.0	410.0	1221.0	2.493	0.608	0.142	0.047	11.0	1.3	86.0	85.0	23.6102	7.2347	-2.6751	38.2498	40.9249	3.2635	3.2541	0.1217	3.0085	3.4156	0.4071
37835493	777.0	507.0	1454.0	2.382	0.574	0.135	0.027	12.0	0.9	86.0	85.0	20.9361	5.262	1.1837	33.5234	32.3397	3.9787	2.89	0.1221	2.5475	3.069	0.5215
43606631	598.0	389.0	1273.0	2.512	0.646	0.136	0.029	9.0	0.7	86.0	85.0	23.6716	5.4101	2.7387	42.497	39.7583	4.3755	3.0527	0.1899	2.6783	3.3617	0.6834
49408975	602.0	419.0	1427.0	2.699	0.539	0.132	0.034	10.0	0.9	86.0	85.0	21.9354	5.4659	3.5978	33.2162	29.6185	4.0132	2.8218	0.1494	2.5658	3.1221	0.5563
51217255	609.0	393.0	1656.0	3.021	0.407	0.143	0.032	12.0	0.8	86.0	85.0	22.3034	5.4782	8.3016	35.162	26.8604	4.0713	3.2373	0.3287	2.7552	4.1632	1.408
52306425	755.0	479.0	1477.0	2.594	0.483	0.127	0.033	12.0	1.1	86.0	85.0	23.233	7.4487	1.7494	42.6152	40.8657	3.1191	2.9674	0.1186	2.7143	3.2379	0.5237
52835891	672.0	451.0	1875.0	2.897	0.672	0.145	0.035	15.0	1.0	86.0	85.0	24.3335	5.8764	6.0456	40.2119	34.1662	4.1409	2.9747	0.1025	2.7347	3.1545	0.4198
55710183	806.0	488.0	1497.0	2.488	0.491	0.122	0.029	12.0	0.9	86.0	85.0	20.2547	6.7329	-2.1736	35.4734	37.647	3.0083	3.0064	0.1615	2.7638	3.4251	0.6613
56162563	558.0	363.0	1390.0	2.959	0.448	0.153	0.035	12.0	0.7	86.0	85.0	25.1726	6.1903	8.3411	40.2688	31.9277	4.0665	2.9713	0.3043	2.4891	3.6646	1.1755
60021964	758.0	501.0	1827.0	2.755	0.645	0.14	0.032	16.0	1.1	86.0	85.0	22.4191	6.5536	0.001	36.0306	36.0296	3.4209	3.1821	0.2964	2.8541	4.008	1.1539
62582335	542.0	367.0	1575.0	2.974	0.621	0.147	0.033	12.0	0.7	86.0	85.0	22.556	5.894	7.9145	38.3641	30.4496	3.8269	2.984	0.1406	2.6903	3.4237	0.7334
65198031	753.0	495.0	1511.0	2.468	0.651	0.125	0.027	10.0	0.8	86.0	85.0	23.8415	4.862	8.2151	41.4576	33.2425	4.9036	2.8709	0.1043	2.591	3.0424	0.4514
70214854	738.0	502.0	1499.0	2.413	0.641	0.149	0.041	12.0	1.3	86.0	85.0	24.8495	5.8461	3.5915	38.7418	35.1503	4.2507	2.7958	0.1143	2.6054	2.9988	0.3934
71851847	763.0	499.0	1954.0	2.958	0.518	0.128	0.022	13.0	0.8	86.0	85.0	25.4992	5.5707	7.1263	40.9404	33.8141	4.5774	3.0088	0.1957	2.5711	3.3234	0.7523
74920331	608.0	408.0	1434.0	2.745	0.472	0.152	0.038	12.0	0.7	86.0	85.0	20.9419	6.6825	1.0627	33.8301	32.7674	3.1338	3.0393	0.1735	2.7283	3.5689	0.8406
77390767	596.0	391.0	1311.0	2.439	0.524	0.135	0.03	14.0	0.6	86.0	85.0	20.7553	5.7543	0.7374	37.976	37.2386	3.6069	3.0548	0.1736	2.7501	3.3813	0.6312
78982423	605.0	404.0	1266.0	2.58	0.522	0.145	0.037	11.0	0.9	86.0	85.0	22.3911	5.5841	5.4055	35.4892	30.0837	4.0098	2.7195	0.0957	2.484	2.8705	0.3864
80982198	668.0	446.0	1483.0	2.47	0.662	0.104	0.022	11.0	0.7	86.0	85.0	23.0433	5.9045	4.069	34.4327	30.3637	3.9027	3.2156	0.1268	2.908	3.3586	0.4506
82699044	935.0	635.0	1716.0	2.335	0.464	0.129	0.025	13.0	1.0	86.0	85.0	22.5518	6.1649	4.1174	36.3891	32.2716	3.6581	3.0287	0.1657	2.7354	3.3385	0.6032
84407714	629.0	417.0	1406.0	2.705	0.543	0.143	0.033	11.0	0.9	86.0	85.0	21.2736	5.4167	7.0609	32.8918	25.8309	3.9274	2.8621	0.2777	2.4321	3.4517	1.0196
86226939	669.0	464.0	1483.0	2.517	0.666	0.156	0.041	13.0	1.3	86.0	85.0	20.2993	7.0462	-12.4604	36.2135	48.6739	2.8809	3.0959	0.288	2.606	3.6366	1.0305
93800202	596.0	393.0	1674.0	2.871	0.707	0.148	0.048	15.0	1.3	86.0	85.0	21.1367	7.1973	-11.3944	35.4675	46.8619	2.9367	3.0282	0.1544	2.6888	3.4201	0.7313
