participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	581.0	373.0	1355.0	2.916	0.422	0.132	0.022	7.0	0.5	98.0	97.0	23.267	5.2287	12.0848	38.2337	26.1489	4.4499	3.1381	0.2214	2.7871	3.4889	0.7018
8454119	543.0	377.0	1313.0	2.899	0.468	0.122	0.023	5.0	0.4	98.0	97.0	23.8641	5.0067	11.7174	42.344	30.6266	4.7664	3.5261	0.2469	3.1375	3.8655	0.728
11407866	531.0	389.0	1475.0	3.017	0.49	0.135	0.024	7.0	0.6	98.0	97.0	25.0835	5.9635	5.6651	36.5109	30.8458	4.2061	3.0773	0.1515	2.6358	3.3224	0.6866
11574123	392.0	275.0	1190.0	3.241	0.543	0.134	0.028	5.0	0.4	98.0	97.0	27.7453	5.0432	14.2784	43.797	29.5186	5.5016	2.9331	0.298	2.4331	3.4458	1.0127
16684978	424.0	285.0	1175.0	3.108	0.553	0.098	0.016	3.0	0.3	98.0	97.0	20.7247	5.1111	8.8597	31.3478	22.4881	4.0548	3.3323	0.1829	2.9448	3.6165	0.6718
25354225	471.0	307.0	983.0	3.057	0.491	0.101	0.017	4.0	0.3	98.0	97.0	25.682	4.8961	10.9598	37.7996	26.8398	5.2454	3.3481	0.1466	2.9727	3.6171	0.6443
25811472	571.0	409.0	1540.0	3.058	0.442	0.125	0.029	6.0	0.7	98.0	97.0	25.8125	4.8735	6.4465	36.5948	30.1483	5.2965	3.3712	0.1887	3.0165	3.8156	0.7991
27876862	265.0	186.0	523.0	3.602	0.578	0.124	0.034	2.0	0.4	98.0	97.0	19.505	3.7444	6.9747	30.4488	23.4741	5.2091	3.2328	0.0246	3.158	3.2686	0.1105
29811890	398.0	258.0	986.0	2.788	0.559	0.109	0.057	6.0	1.2	98.0	97.0	21.4347	8.065	-8.5161	39.9405	48.4566	2.6577	2.9256	0.2617	2.4044	3.4543	1.0499
31361606	353.0	243.0	934.0	3.047	0.621	0.14	0.022	5.0	0.3	98.0	97.0	24.3557	3.6772	14.1267	34.7295	20.6028	6.6234	3.0068	0.1926	2.7576	3.4062	0.6486
32938469	529.0	365.0	961.0	2.634	0.463	0.112	0.024	5.0	0.5	98.0	97.0	25.2307	6.5801	-16.5404	40.3679	56.9083	3.8344	3.4034	0.0912	3.1478	3.5782	0.4305
36895554	337.0	230.0	996.0	2.943	0.868	0.136	0.039	5.0	0.5	98.0	97.0	25.2108	5.4739	7.264	39.8822	32.6182	4.6056	2.8819	0.2097	2.5424	3.2271	0.6846
37329051	432.0	352.0	1252.0	2.659	0.785	0.145	0.038	11.0	0.6	98.0	97.0	25.8174	5.8956	2.0582	38.9557	36.8975	4.3791	3.4414	0.1405	3.0504	3.749	0.6986
37835493	570.0	380.0	1289.0	2.697	0.367	0.112	0.021	6.0	0.5	98.0	97.0	22.5909	4.0322	9.4957	34.0917	24.596	5.6027	2.9272	0.2701	2.548	3.4341	0.8861
43606631	477.0	307.0	933.0	2.625	0.486	0.146	0.031	7.0	0.5	98.0	97.0	21.0215	4.8745	7.0128	34.5842	27.5714	4.3125	3.1258	0.1515	2.5594	3.3963	0.8369
49408975	518.0	368.0	1262.0	2.739	0.584	0.134	0.047	11.0	0.8	98.0	97.0	22.6697	5.1914	-3.9626	32.9734	36.9359	4.3668	3.1994	0.138	2.8052	3.5427	0.7375
51217255	510.0	359.0	1288.0	2.932	0.51	0.143	0.031	8.0	0.7	98.0	97.0	23.346	6.7613	3.7464	39.6646	35.9182	3.4529	2.9159	0.3158	2.2779	3.4392	1.1613
52306425	667.0	446.0	1787.0	3.069	0.399	0.124	0.021	7.0	0.6	98.0	97.0	24.0054	4.4978	11.663	36.3721	24.7091	5.3372	3.1387	0.1968	2.8597	3.5973	0.7375
52835891	420.0	287.0	1328.0	3.369	0.638	0.128	0.028	4.0	0.6	98.0	97.0	23.7138	5.2794	9.4422	35.2123	25.7701	4.4918	2.9913	0.2024	2.7215	3.371	0.6494
55710183	559.0	389.0	1310.0	2.715	0.444	0.132	0.022	7.0	0.7	98.0	97.0	26.1449	4.7004	10.6353	40.7195	30.0842	5.5623	3.4202	0.1214	3.1271	3.7499	0.6228
56162563	567.0	379.0	1040.0	2.466	0.518	0.116	0.02	5.0	0.4	98.0	97.0	25.8239	5.5079	11.125	42.7463	31.6212	4.6885	3.2821	0.1842	2.8066	3.5326	0.726
60021964	528.0	357.0	1324.0	2.988	0.446	0.161	0.041	12.0	0.9	98.0	97.0	24.9508	5.9977	-0.0318	41.4072	41.439	4.1601	3.3293	0.1556	2.8588	3.5675	0.7087
62582335	303.0	224.0	1153.0	3.466	0.455	0.14	0.038	5.0	0.5	98.0	97.0	24.9194	5.5299	5.532	39.1136	33.5817	4.5063	2.9168	0.2528	2.5643	3.429	0.8647
65198031	527.0	338.0	1273.0	3.016	0.344	0.101	0.019	5.0	0.3	98.0	97.0	20.3895	4.2535	8.2178	30.9886	22.7708	4.7936	2.9524	0.2056	2.5152	3.3658	0.8506
70214854	413.0	310.0	1175.0	2.843	0.508	0.141	0.027	5.0	0.5	98.0	97.0	30.3717	4.676	15.177	44.9529	29.7759	6.4952	2.8601	0.173	2.6444	3.2776	0.6332
71851847	435.0	297.0	1363.0	3.205	0.487	0.146	0.029	6.0	0.6	98.0	97.0	27.0894	5.1088	11.9184	39.0588	27.1404	5.3025	3.0102	0.2608	2.4991	3.4603	0.9612
74920331	411.0	279.0	1000.0	2.986	0.425	0.127	0.023	4.0	0.4	98.0	97.0	24.1961	3.4241	12.6933	36.5152	23.8219	7.0665	3.0596	0.1552	2.7632	3.3902	0.627
77390767	419.0	274.0	1043.0	2.821	0.47	0.126	0.021	5.0	0.4	98.0	97.0	22.0406	4.9977	7.9738	34.1613	26.1875	4.4101	2.904	0.2226	2.6415	3.3959	0.7543
78982423	472.0	319.0	1339.0	3.073	0.512	0.13	0.032	5.0	0.7	98.0	97.0	21.703	5.6419	8.1007	40.1055	32.0048	3.8467	2.7953	0.2066	2.4884	3.123	0.6346
80982198	489.0	353.0	1570.0	3.171	0.566	0.116	0.022	5.0	0.5	98.0	97.0	27.2084	4.8576	13.6066	46.5314	32.9248	5.6012	3.3299	0.1772	3.0134	3.7204	0.707
82699044	537.0	381.0	1434.0	2.85	0.554	0.145	0.028	6.0	0.7	98.0	97.0	23.2771	4.7589	9.3034	34.1456	24.8422	4.8912	2.9981	0.2109	2.6323	3.4267	0.7944
84407714	476.0	327.0	1174.0	2.789	0.904	0.127	0.025	6.0	0.5	98.0	97.0	22.1736	5.9093	2.3587	35.172	32.8133	3.7523	2.9013	0.1419	2.7255	3.2461	0.5205
86226939	431.0	286.0	1051.0	2.874	0.486	0.116	0.02	4.0	0.4	98.0	97.0	21.7472	4.0355	10.3453	33.2146	22.8692	5.3889	2.9231	0.2273	2.6825	3.4103	0.7278
93800202	472.0	287.0	1325.0	3.385	0.673	0.126	0.047	6.0	1.0	98.0	97.0	20.7537	7.3591	-8.7473	39.8982	48.6456	2.8201	2.9957	0.281	2.5705	3.4794	0.9089
97005004	405.0	266.0	1086.0	2.991	0.525	0.144	0.036	8.0	0.6	98.0	97.0	21.1191	5.7147	3.4352	36.5574	33.1222	3.6956	3.8972	0.1741	3.4708	4.1177	0.6469
100527940	455.0	315.0	1235.0	3.033	0.531	0.123	0.028	5.0	0.6	98.0	97.0	24.6038	5.698	7.5861	36.4653	28.8793	4.3179	3.5811	0.1319	3.2519	3.8672	0.6153
103652366	507.0	322.0	1016.0	2.67	0.387	0.098	0.022	4.0	0.4	98.0	97.0	22.6762	4.7976	4.496	33.1817	28.6856	4.7266	3.1035	0.0955	2.8385	3.3279	0.4894
105914514	665.0	429.0	1283.0	2.517	0.672	0.129	0.061	8.0	1.4	98.0	97.0	15.9755	7.3773	-1.301	35.1396	36.4406	2.1655	3.3062	0.1244	2.9856	3.6369	0.6513
107578676	512.0	369.0	1458.0	3.03	0.641	0.126	0.025	6.0	0.6	98.0	97.0	25.3614	5.1184	13.0053	39.0658	26.0604	4.9549	3.3285	0.2026	2.8285	3.9119	1.0835
108828000	342.0	226.0	896.0	2.911	0.525	0.116	0.024	4.0	0.3	98.0	97.0	18.9062	3.9789	7.4837	32.2892	24.8055	4.7516	3.0942	0.2598	2.5093	3.4541	0.9448
113335479	458.0	339.0	1307.0	3.026	0.494	0.129	0.021	5.0	0.5	98.0	97.0	24.5184	4.2569	10.9445	41.4433	30.4988	5.7597	3.1119	0.294	2.6347	3.6424	1.0077
115784129	693.0	466.0	1269.0	2.402	0.353	0.121	0.023	8.0	0.7	98.0	97.0	24.161	5.0427	8.653	39.4857	30.8327	4.7913					
119126177	483.0	327.0	1193.0	3.077	0.559	0.141	0.033	6.0	0.8	98.0	97.0	22.3426	6.1107	1.2424	35.1761	33.9338	3.6563	3.7237	0.1478	3.4737	4.0519	0.5782
121697273	639.0	423.0	1657.0	2.937	0.573	0.142	0.031	13.0	0.8	98.0	97.0	29.8513	6.4423	10.4433	47.9128	37.4695	4.6336	3.1573	0.247	2.685	3.709	1.024
130118047	529.0	331.0	1142.0	2.798	0.636	0.1	0.015	5.0	0.3	98.0	97.0	28.2547	4.5865	15.358	40.9038	25.5459	6.1605	3.183	0.2313	2.7784	3.4962	0.7178
131655018	394.0	269.0	1025.0	2.822	0.763	0.106	0.029	3.0	0.4	98.0	97.0	20.0624	6.0756	3.318	35.9938	32.6758	3.3021	2.9771	0.1786	2.6295	3.34	0.7105
134279804	527.0	368.0	1287.0	2.794	0.489	0.12	0.02	6.0	0.5	98.0	97.0	24.8259	4.5609	9.0221	37.6379	28.6158	5.4432	3.1088	0.1712	2.7606	3.4194	0.6587
138434806	572.0	367.0	1075.0	2.47	0.402	0.108	0.023	6.0	0.6	98.0	97.0	23.0491	5.4985	5.5007	36.1641	30.6634	4.1919	3.1216	0.2135	2.7532	3.6281	0.8748
154667058	551.0	378.0	1402.0	2.811	0.509	0.125	0.024	7.0	0.6	98.0	97.0	25.0309	4.5196	5.4857	39.5152	34.0295	5.5382	3.375	0.2828	2.9793	3.949	0.9698
158779019	339.0	209.0	783.0	2.895	0.31	0.11	0.025	4.0	0.3	98.0	97.0	22.0454	3.91	12.6578	34.2164	21.5586	5.6383	3.344	0.1705	3.0879	3.7591	0.6712
162526644	382.0	281.0	1200.0	3.106	0.629	0.15	0.035	7.0	0.7	98.0	97.0	24.7151	5.7214	4.2064	37.8213	33.6149	4.3198	2.8565	0.2059	2.5856	3.4992	0.9136
163259093	336.0	222.0	961.0	3.133	0.418	0.12	0.02	3.0	0.3	98.0	97.0	24.9977	4.8794	13.2294	37.5841	24.3547	5.1231	2.9001	0.2245	2.6128	3.3528	0.74
176129790	387.0	274.0	978.0	2.712	0.466	0.131	0.023	6.0	0.3	98.0	97.0	22.8948	4.7533	4.8824	33.1571	28.2747	4.8166	2.9319	0.2175	2.5872	3.3451	0.758
177928631	469.0	333.0	1196.0	2.739	0.544	0.136	0.036	6.0	0.6	98.0	97.0	23.0088	4.9237	4.0507	34.8185	30.7679	4.6731	3.4358	0.3008	2.8396	3.9072	1.0676
182017409	549.0	374.0	1395.0	2.907	0.537	0.124	0.028	10.0	0.6	98.0	97.0	25.754	5.6185	1.8531	40.4285	38.5754	4.5838	3.6744	0.2696	2.9978	4.1315	1.1337
189913356	426.0	274.0	813.0	2.596	0.669	0.118	0.041	5.0	0.7	98.0	97.0	16.3663	6.5869	-3.1636	36.5961	39.7596	2.4847	3.3912	0.2938	2.9039	3.7631	0.8592
190100766	447.0	305.0	1118.0	2.92	0.519	0.108	0.02	4.0	0.4	98.0	97.0	26.4701	4.8847	8.1873	38.2986	30.1113	5.4189	3.3642	0.1548	2.7329	3.7261	0.9933
192039987	428.0	261.0	822.0	2.209	0.622	0.145	0.092	7.0	1.4	98.0	97.0	17.3983	6.494	0.0609	33.9224	33.8615	2.6791	3.145	0.1266	2.7944	3.3206	0.5262
192271174	416.0	263.0	865.0	2.753	0.478	0.106	0.033	3.0	0.5	98.0	97.0	23.9372	4.7477	10.7591	35.8159	25.0568	5.0418	3.1119	0.0993	2.8376	3.3564	0.5188
192413932	570.0	387.0	1496.0	3.023	0.573	0.116	0.024	7.0	0.6	98.0	97.0	23.0839	5.2367	8.1341	35.1323	26.9981	4.4081	3.0841	0.2592	2.6182	3.6144	0.9961
194293030	562.0	363.0	1458.0	2.968	0.401	0.128	0.029	8.0	0.6	98.0	97.0	22.9702	4.9507	5.8843	36.5375	30.6531	4.6398	3.1099	0.2403	2.6377	3.4795	0.8418
194324018	721.0	471.0	1710.0	2.794	0.59	0.146	0.03	13.0	0.9	98.0	97.0	24.7711	5.1696	10.6166	40.2901	29.6735	4.7917	3.3637	0.2216	2.7583	3.6666	0.9083
