participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	524.0	355.0	1139.0	2.708	0.412	0.122	0.025	10.0	0.4	58.0	57.0	23.4094	5.9679	4.2791	37.535	33.2559	3.9226	2.1437	0.0511	2.0566	2.356	0.2993
8454119	652.0	436.0	1664.0	3.139	0.575	0.152	0.033	14.0	1.0	58.0	57.0	24.4086	6.8966	3.7191	44.9536	41.2345	3.5392	2.7244	0.1341	2.4462	3.0668	0.6206
11407866	430.0	304.0	1171.0	3.168	0.357	0.145	0.024	7.0	0.5	58.0	57.0	26.4609	4.9959	12.301	39.4874	27.1864	5.2965	1.9757	0.086	1.8604	2.2948	0.4345
11574123	335.0	236.0	900.0	3.13	0.604	0.138	0.031	6.0	0.4	58.0	57.0	24.8221	5.2051	1.4156	39.4539	38.0382	4.7689	2.1515	0.156	1.886	2.5022	0.6162
16684978	274.0	199.0	821.0	3.16	0.383	0.162	0.043	6.0	0.6	58.0	57.0	22.9652	6.1497	9.0898	36.0328	26.943	3.7343	2.0566	0.1056	1.8834	2.3277	0.4443
25354225	378.0	262.0	1429.0	3.966	0.495	0.141	0.043	6.0	0.6	58.0	57.0	24.9207	6.6545	8.8591	44.8169	35.9578	3.745	2.1635	0.0787	2.0401	2.3691	0.329
25811472	359.0	260.0	1252.0	3.405	0.5	0.165	0.066	11.0	1.2	58.0	57.0	21.2565	7.0609	1.4424	37.3281	35.8857	3.0104	2.3482	0.1712	2.0877	2.6838	0.5962
27876862	226.0	151.0	603.0	3.184	0.459	0.132	0.024	4.0	0.2	58.0	57.0	26.2676	5.7604	8.654	38.8733	30.2193	4.56	1.9143	0.1012	1.7305	2.1585	0.428
29811890	445.0	297.0	907.0	3.022	0.553	0.123	0.023	5.0	0.4	58.0	57.0	27.5064	6.6175	7.5929	41.3358	33.7428	4.1566	2.2568	0.0643	2.1653	2.4497	0.2844
31361606	243.0	179.0	726.0	2.965	0.381	0.144	0.027	4.0	0.2	58.0	57.0	26.6623	5.0321	10.8937	40.1971	29.3034	5.2984	2.015	0.0449	1.9154	2.1084	0.1931
