participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	696.0	486.0	1175.0	2.473	0.447	0.13	0.034	9.0	1.1	172.0	171.0	24.0718	7.3273	-25.1759	37.6607	62.8367	3.2852	2.975	0.139	2.6463	3.3164	0.6701
8454119	912.0	603.0	1750.0	2.779	0.523	0.12	0.021	10.0	0.8	172.0	171.0	25.6172	5.376	8.4771	37.4822	29.0051	4.7651	3.7696	0.326	3.0729	4.6467	1.5739
11407866	774.0	518.0	1695.0	2.892	0.579	0.133	0.027	9.0	1.0	172.0	171.0	26.3392	5.4051	5.4763	39.9182	34.4419	4.873	3.1463	0.3589	2.6597	4.1526	1.4928
11574123	575.0	378.0	1257.0	2.728	0.587	0.141	0.027	10.0	0.7	172.0	171.0	24.9165	4.9375	9.2719	36.4507	27.1788	5.0463	3.0192	0.1242	2.8046	3.4467	0.6421
16684978	652.0	443.0	1256.0	2.518	0.594	0.146	0.037	10.0	1.0	172.0	171.0	22.4685	5.7407	6.456	34.4013	27.9453	3.9139	3.2855	0.3449	2.7746	4.3033	1.5288
25354225	856.0	578.0	1484.0	2.67	0.504	0.115	0.026	7.0	0.9	172.0	171.0	27.876	6.397	3.8687	48.3903	44.5216	4.3577	3.0737	0.2701	2.7301	3.9832	1.2531
25811472	782.0	524.0	1889.0	3.077	0.479	0.142	0.043	16.0	1.3	172.0	171.0	23.8037	6.6036	2.1041	38.8555	36.7514	3.6046	3.2321	0.1349	2.921	3.6339	0.7129
27876862	492.0	329.0	938.0	2.578	0.39	0.157	0.047	11.0	0.8	172.0	171.0	22.305	7.0581	-11.5305	34.589	46.1195	3.1602	2.7108	0.1585	2.4738	3.0742	0.6004
29811890	702.0	360.0	1242.0	2.654	0.682	0.127	0.055	14.0	1.6	172.0	171.0	18.1102	9.2081	-10.787	36.3092	47.0961	1.9668	3.0317	0.174	2.6986	3.6082	0.9097
31361606	444.0	297.0	843.0	2.524	0.506	0.134	0.03	6.0	0.6	172.0	171.0	23.2101	5.6609	-1.6079	36.0585	37.6664	4.1001	3.843	0.1693	3.5914	4.2881	0.6967
32938469	659.0	401.0	1295.0	2.785	0.684	0.143	0.058	11.0	1.4	172.0	171.0	19.2458	7.9379	-3.2749	36.1518	39.4267	2.4245	3.2893	0.1754	3.0629	3.7936	0.7307
36895554	579.0	397.0	1413.0	2.982	0.637	0.15	0.031	10.0	0.7	172.0	171.0	22.5534	6.6273	5.8396	35.1233	29.2836	3.4031	3.1965	0.2421	2.8454	3.8698	1.0244
37329051	624.0	425.0	1632.0	2.805	0.836	0.142	0.049	15.0	1.4	172.0	171.0	21.6194	7.3648	-2.6808	37.649	40.3297	2.9355	3.5035	0.1896	3.1387	3.9647	0.8259
37835493	650.0	436.0	1323.0	2.781	0.513	0.122	0.03	6.0	0.7	172.0	171.0	25.6439	3.5367	11.3677	36.3525	24.9847	7.2509	2.8945	0.124	2.6386	3.5279	0.8893
43606631	689.0	455.0	1095.0	2.252	0.452	0.134	0.031	10.0	0.8	172.0	171.0	23.6066	5.2437	6.7139	34.1031	27.3892	4.5019	3.2828	0.3047	2.6669	4.3469	1.6799
49408975	580.0	422.0	1199.0	2.692	0.618	0.132	0.028	7.0	0.8	172.0	171.0	23.9603	4.8254	7.3484	35.2972	27.9487	4.9654	2.9436	0.1712	2.6036	3.3619	0.7582
