participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	404.0	272.0	865.0	2.737	0.322	0.135	0.018	9.0	0.3	166.0	165.0	25.0856	5.8002	7.9129	39.1938	31.2809	4.3249	2.2614	0.0195	2.2136	2.326	0.1124
8454119	319.0	209.0	502.0	2.555	0.47	0.081	0.012	1.0	0.1	166.0	165.0	28.1304	4.1962	13.4973	41.7814	28.2842	6.7038	2.3101	0.0155	2.2681	2.3583	0.0902
11407866	378.0	261.0	830.0	2.815	0.383	0.144	0.024	9.0	0.4	166.0	165.0	23.9822	6.2655	7.3745	38.942	31.5675	3.8277	2.3249	0.0308	2.2619	2.3919	0.1299
11574123	319.0	224.0	628.0	2.817	0.528	0.131	0.022	6.0	0.2	166.0	165.0	24.1982	6.8749	-0.6038	37.94	38.5438	3.5198	2.2022	0.0107	2.1707	2.2309	0.0602
16684978	240.0	161.0	449.0	2.449	0.437	0.159	0.019	7.0	0.2	166.0	165.0	21.8093	5.3414	9.6112	35.4793	25.8681	4.0831	2.1602	0.0369	2.0853	2.2675	0.1822
25354225	239.0	167.0	471.0	2.672	0.342	0.109	0.018	4.0	0.2	166.0	165.0	22.2475	6.6474	5.7857	36.3662	30.5804	3.3468	2.1263	0.0052	2.1106	2.1362	0.0255
25811472	364.0	237.0	744.0	2.854	0.519	0.115	0.02	6.0	0.3	166.0	165.0	23.0248	6.3954	1.1162	36.3157	35.1995	3.6002	2.3466	0.0234	2.2879	2.4013	0.1135
27876862	221.0	157.0	475.0	2.872	0.429	0.161	0.029	7.0	0.2	166.0	165.0	22.7309	6.5669	7.3916	34.1898	26.7982	3.4614	2.0084	0.0234	1.9662	2.0545	0.0883
29811890	328.0	228.0	717.0	2.673	0.616	0.134	0.017	6.0	0.2	166.0	165.0	26.0231	6.0707	4.0515	37.9169	33.8654	4.2866	2.1735	0.0104	2.1337	2.2064	0.0728
31361606	224.0	156.0	489.0	3.146	0.585	0.134	0.026	2.0	0.2	166.0	165.0	27.3003	4.2596	11.998	35.8446	23.8466	6.4092	2.0712	0.0111	2.027	2.085	0.058
32938469	306.0	223.0	672.0	2.994	0.621	0.188	0.07	13.0	0.8	166.0	165.0	21.2043	7.4451	-3.8262	38.0442	41.8704	2.8481	2.278	0.0237	2.2165	2.314	0.0975
36895554	238.0	157.0	636.0	3.245	0.619	0.127	0.045	4.0	0.4	166.0	165.0	24.6277	5.6161	7.9161	34.8016	26.8856	4.3852	2.127	0.03	2.0793	2.1972	0.1179
37329051	304.0	204.0	826.0	3.166	0.46	0.132	0.036	8.0	0.3	166.0	165.0	23.9846	7.2579	6.5314	41.3614	34.83	3.3046	2.3303	0.0299	2.2468	2.3933	0.1465
37835493	272.0	182.0	454.0	2.765	0.438	0.118	0.016	3.0	0.2	166.0	165.0	27.1431	4.784	11.799	37.2826	25.4837	5.6737	2.1496	0.0039	2.1379	2.1601	0.0223
43606631	270.0	183.0	491.0	2.422	0.547	0.17	0.037	11.0	0.5	166.0	165.0	21.8825	6.7012	-11.8677	35.599	47.4667	3.2655	2.1863	0.0361	2.1195	2.267	0.1475
49408975	317.0	217.0	723.0	3.041	0.507	0.134	0.023	5.0	0.3	166.0	165.0	22.0739	6.8503	-12.2316	36.8572	49.0888	3.2223	2.2322	0.0183	2.1747	2.2884	0.1137
51217255	254.0	163.0	529.0	3.202	0.404	0.169	0.062	8.0	0.5	166.0	165.0	22.7631	7.8683	3.1135	38.4803	35.3668	2.893	2.1185	0.0116	2.0783	2.1407	0.0624
52306425	354.0	243.0	796.0	2.735	0.358	0.138	0.025	7.0	0.3	166.0	165.0	26.4176	6.116	9.0476	39.1637	30.116	4.3194	2.329	0.0372	2.2473	2.4384	0.1911
52835891	321.0	207.0	774.0	3.155	0.49	0.139	0.021	7.0	0.3	166.0	165.0	24.3647	5.8325	5.7099	37.8629	32.153	4.1774	2.1181	0.0199	2.0607	2.1595	0.0989
55710183	354.0	230.0	684.0	2.658	0.384	0.162	0.061	14.0	1.1	166.0	165.0	21.7769	7.3867	4.3936	35.6416	31.248	2.9481	2.2467	0.0178	2.1819	2.2751	0.0932
56162563	337.0	227.0	733.0	2.903	0.407	0.162	0.048	10.0	0.5	166.0	165.0	25.511	5.9737	4.1767	39.141	34.9643	4.2705	2.1142	0.0215	2.0667	2.1788	0.1121
60021964	364.0	257.0	712.0	2.654	0.3	0.15	0.031	12.0	0.4	166.0	165.0	21.071	8.5096	-19.4119	35.9148	55.3267	2.4762	2.2699	0.0239	2.2209	2.309	0.0881
62582335	223.0	141.0	432.0	3.079	0.555	0.139	0.033	5.0	0.2	166.0	165.0	23.0387	5.2782	5.8933	35.0082	29.1149	4.3649	2.1866	0.0109	2.159	2.22	0.061
65198031	245.0	184.0	413.0	2.557	0.227	0.123	0.022	4.0	0.2	166.0	165.0	23.3787	5.8012	1.217	32.8615	31.6445	4.03	2.0816	0.0093	2.054	2.1124	0.0584
70214854	259.0	186.0	375.0	2.484	0.334	0.083	0.012	1.0	0.1	166.0	165.0	30.4824	3.9343	17.8499	42.6846	24.8347	7.7479	2.0161	0.0195	1.9812	2.0635	0.0823
71851847	316.0	225.0	771.0	3.015	0.345	0.133	0.023	8.0	0.3	166.0	165.0	24.4277	7.5328	5.7831	38.0482	32.2651	3.2428	2.1106	0.0196	2.0716	2.157	0.0854
74920331	240.0	183.0	354.0	2.201	0.252	0.132	0.028	5.0	0.1	166.0	165.0	25.7966	6.4962	-5.5602	35.1147	40.6749	3.9711	2.1756	0.0095	2.1538	2.1972	0.0433
77390767	287.0	202.0	611.0	2.838	0.421	0.149	0.024	7.0	0.2	166.0	165.0	22.8707	6.9781	1.077	36.2243	35.1472	3.2775	2.17	0.02	2.1314	2.2251	0.0938
78982423	299.0	196.0	531.0	2.939	0.424	0.144	0.025	6.0	0.3	166.0	165.0	24.0864	5.877	8.9564	35.0777	26.1213	4.0984	1.9759	0.0231	1.9266	2.0124	0.0858
80982198	300.0	200.0	592.0	2.881	0.734	0.135	0.035	6.0	0.3	166.0	165.0	22.8224	7.2452	2.1434	37.0429	34.8995	3.15	2.3695	0.0253	2.3297	2.4365	0.1068
82699044	411.0	287.0	929.0	2.611	0.419	0.138	0.031	9.0	0.5	166.0	165.0	23.2492	6.3942	4.2155	35.4987	31.2832	3.636	2.3351	0.0153	2.2904	2.3615	0.0711
84407714	248.0	176.0	445.0	2.501	0.345	0.146	0.027	7.0	0.2	166.0	165.0	21.2229	7.5132	3.8201	35.7018	31.8817	2.8247	2.1728	0.0219	2.1289	2.2079	0.079
86226939	306.0	222.0	671.0	2.673	0.391	0.15	0.024	8.0	0.2	166.0	165.0	22.6559	6.4076	3.4754	35.9189	32.4435	3.5358	2.167	0.0361	2.1062	2.2363	0.13
93800202	176.0	127.0	413.0	3.15	0.383	0.128	0.034	2.0	0.2	166.0	165.0	27.8033	6.162	5.0083	39.5652	34.5569	4.5121	2.0726	0.0143	2.0313	2.1147	0.0835
97005004	417.0	266.0	924.0	2.895	0.409	0.104	0.017	6.0	0.3	166.0	165.0	24.1347	6.1425	3.0388	36.9264	33.8876	3.9291	2.2716	0.0431	2.1724	2.3311	0.1587
100527940	290.0	221.0	656.0	2.841	0.499	0.148	0.023	8.0	0.3	166.0	165.0	21.1295	8.2498	2.0361	35.2227	33.1866	2.5612	2.178	0.0101	2.1379	2.1951	0.0571
103652366	200.0	133.0	714.0	3.893	0.635	0.146	0.033	4.0	0.2	166.0	165.0	23.6534	6.6795	6.2599	35.1541	28.8942	3.5412	2.2408	0.0264	2.1949	2.3015	0.1065
105914514	264.0	159.0	597.0	3.124	0.859	0.119	0.053	4.0	0.3	166.0	165.0	15.7883	6.1078	0.1152	35.2726	35.1574	2.5849	2.0597	0.0635	1.9481	2.1812	0.2331
107578676	384.0	275.0	761.0	2.511	0.58	0.148	0.034	14.0	0.5	166.0	165.0	21.5827	8.4967	-14.0511	38.5603	52.6114	2.5401	2.3158	0.0261	2.2737	2.3869	0.1132
108828000	211.0	148.0	348.0	2.366	0.307	0.144	0.021	4.0	0.2	166.0	165.0	21.5585	6.6999	2.8875	33.2969	30.4094	3.2177	2.1155	0.0205	2.0486	2.1518	0.1032
113335479	269.0	196.0	676.0	2.91	0.364	0.124	0.03	5.0	0.3	166.0	165.0	21.4141	8.4805	-5.4321	36.0843	41.5165	2.5251	2.2983	0.0182	2.2573	2.3353	0.078
115784129	350.0	232.0	582.0	2.581	0.357	0.138	0.021	7.0	0.3	166.0	165.0	23.4691	6.7079	5.3419	40.2035	34.8616	3.4987					
119126177	264.0	175.0	513.0	2.817	0.315	0.133	0.049	7.0	0.4	166.0	165.0	26.5223	6.5558	2.3014	40.4717	38.1703	4.0456	2.1442	0.0203	2.1133	2.1851	0.0718
121697273	327.0	223.0	616.0	2.625	0.537	0.099	0.023	4.0	0.3	166.0	165.0	25.037	7.8717	-5.5057	40.2462	45.7519	3.1806	2.2218	0.0209	2.1871	2.299	0.1119
130118047	330.0	219.0	621.0	2.619	0.505	0.107	0.014	4.0	0.2	166.0	165.0	27.5458	5.1281	12.2569	37.5137	25.2568	5.3716	2.2465	0.0167	2.2113	2.2879	0.0766
131655018	254.0	173.0	404.0	2.573	0.288	0.123	0.026	8.0	0.2	166.0	165.0	25.1341	6.9573	5.2813	39.1874	33.906	3.6126	2.2957	0.0185	2.2629	2.3425	0.0796
134279804	337.0	228.0	598.0	2.523	0.267	0.128	0.021	7.0	0.3	166.0	165.0	23.8346	5.6882	11.1192	36.4599	25.3407	4.1902	2.2165	0.0159	2.1679	2.2494	0.0815
138434806	251.0	178.0	323.0	2.158	0.363	0.096	0.008	2.0	0.1	166.0	165.0	26.3083	3.4275	17.814	35.2204	17.4064	7.6756	2.262	0.0287	2.1854	2.302	0.1166
154667058	456.0	298.0	896.0	2.559	0.295	0.118	0.033	9.0	0.4	166.0	165.0	21.3634	7.2143	1.1118	37.8052	36.6934	2.9613	2.4207	0.0375	2.3215	2.5159	0.1944
158779019	283.0	189.0	442.0	2.524	0.43	0.096	0.011	3.0	0.1	166.0	165.0	26.4695	4.3648	12.1294	34.6182	22.4888	6.0643	2.244	0.0112	2.2253	2.2902	0.0648
162526644	340.0	229.0	852.0	3.127	0.403	0.15	0.036	8.0	0.5	166.0	165.0	21.5462	6.1912	1.8472	34.493	32.6458	3.4801	2.441	0.0221	2.3749	2.5066	0.1317
163259093	236.0	155.0	539.0	3.055	0.358	0.123	0.034	4.0	0.2	166.0	165.0	26.6408	5.3969	11.8263	39.1165	27.2902	4.9364	2.0915	0.0231	2.0322	2.1231	0.0909
176129790	289.0	208.0	700.0	2.852	0.315	0.161	0.033	7.0	0.4	166.0	165.0	22.7234	7.4868	6.333	39.3828	33.0497	3.0351	2.1564	0.0215	2.0669	2.2133	0.1464
177928631	337.0	228.0	697.0	2.664	0.476	0.157	0.029	10.0	0.5	166.0	165.0	21.9292	6.1263	3.1087	35.0925	31.9838	3.5795	2.3088	0.0215	2.2452	2.3446	0.0994
182017409	375.0	256.0	998.0	3.464	0.648	0.161	0.058	10.0	0.9	166.0	165.0	23.0721	7.5107	-5.1517	40.7087	45.8604	3.0719	2.3117	0.0387	2.2388	2.4299	0.1911
189913356	244.0	163.0	371.0	2.562	0.715	0.104	0.016	1.0	0.2	166.0	165.0	18.7488	5.6936	2.1958	33.5039	31.3081	3.293	2.0643	0.0227	2.0309	2.1409	0.1101
190100766	362.0	223.0	777.0	2.864	0.36	0.132	0.023	12.0	0.3	166.0	165.0	24.0292	7.3015	-2.7783	41.1327	43.911	3.291	2.343	0.053	2.213	2.463	0.25
192039987	212.0	132.0	485.0	3.559	0.921	0.108	0.032	1.0	0.2	166.0	165.0	20.9078	5.6893	5.2896	34.349	29.0594	3.6749	1.8864	0.0209	1.8533	1.9245	0.0712
