participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	491.0	337.0	1014.0	2.639	0.463	0.113	0.022	5.0	0.5	99.0	98.0	24.7131	4.9794	14.2531	46.4633	32.2103	4.9631	2.6323	0.1997	2.2366	2.8578	0.6211
8454119	631.0	416.0	1162.0	2.596	0.4	0.128	0.029	8.0	0.7	99.0	98.0	27.9084	6.7264	-0.1728	47.2721	47.4449	4.1491	2.99	0.1372	2.7149	3.2125	0.4975
11407866	532.0	362.0	1376.0	3.037	0.57	0.123	0.021	10.0	0.4	99.0	98.0	27.4249	6.2393	10.6235	49.5738	38.9503	4.3955	2.794	0.3205	2.2282	3.1761	0.948
11574123	337.0	231.0	870.0	3.089	0.634	0.133	0.027	4.0	0.4	99.0	98.0	26.4512	6.8146	8.7687	44.79	36.0213	3.8816	2.4666	0.0415	2.3152	2.5419	0.2267
16684978	510.0	337.0	1127.0	2.999	0.543	0.127	0.026	6.0	0.6	99.0	98.0	26.6372	4.5732	12.5025	37.2827	24.7802	5.8247	2.4758	0.2354	2.2398	3.0085	0.7687
25354225	509.0	324.0	1461.0	3.603	0.544	0.104	0.026	5.0	0.6	99.0	98.0	22.25	5.841	5.7794	35.7124	29.9331	3.8093	2.8397	0.1993	2.3999	3.2178	0.8179
25811472	539.0	399.0	1624.0	3.264	0.568	0.135	0.021	6.0	0.5	99.0	98.0	25.6172	5.3258	6.6025	41.0391	34.4366	4.81	2.8236	0.245	2.4225	3.2089	0.7864
27876862	306.0	205.0	494.0	2.542	0.368	0.129	0.023	3.0	0.3	99.0	98.0	25.0756	5.3046	9.8105	39.7976	29.987	4.7271	2.3439	0.0848	2.1913	3.1744	0.9831
29811890	294.0	200.0	616.0	3.401	0.761	0.101	0.025	2.0	0.2	99.0	98.0	26.2743	6.7343	-27.6271	41.3172	68.9443	3.9016	2.4388	0.0762	2.3206	2.6324	0.3118
31361606	472.0	317.0	1195.0	3.008	0.689	0.124	0.03	6.0	0.5	99.0	98.0	25.2814	4.4612	12.3096	41.8245	29.5148	5.6669	2.4947	0.2504	2.1663	2.8369	0.6706
32938469	587.0	404.0	1118.0	2.552	0.558	0.129	0.034	11.0	0.8	99.0	98.0	25.7023	6.9075	4.8421	41.3834	36.5413	3.7209	2.9485	0.1799	2.5828	3.2046	0.6219
36895554	494.0	307.0	888.0	2.706	0.566	0.119	0.029	8.0	0.6	99.0	98.0	26.6447	7.4261	-9.8833	45.1313	55.0146	3.588	2.439	0.0676	2.2305	2.5923	0.3618
37329051	444.0	332.0	1387.0	2.915	0.788	0.152	0.036	9.0	0.8	99.0	98.0	24.7502	7.2274	2.0882	43.8457	41.7575	3.4245	2.9174	0.2338	2.5257	3.367	0.8413
37835493	488.0	345.0	1128.0	2.817	0.497	0.118	0.018	5.0	0.3	99.0	98.0	25.4246	3.5755	14.2077	37.3012	23.0935	7.1108	2.4753	0.1018	2.2901	2.7008	0.4107
43606631	401.0	271.0	613.0	2.342	0.433	0.117	0.023	3.0	0.4	99.0	98.0	24.0764	4.557	9.1185	37.1825	28.064	5.2834	2.5155	0.0431	2.4057	2.6784	0.2728
49408975	454.0	304.0	1502.0	3.49	0.587	0.13	0.032	6.0	0.6	99.0	98.0	23.1747	6.1166	5.7244	39.3516	33.6272	3.7888	2.739	0.2284	2.4375	3.2092	0.7717
51217255	324.0	215.0	637.0	2.766	0.57	0.114	0.024	3.0	0.3	99.0	98.0	26.0468	5.1195	12.6083	41.0017	28.3934	5.0878	2.2293	0.0314	2.1484	2.3191	0.1707
52306425	705.0	466.0	1491.0	2.873	0.343	0.115	0.025	7.0	0.6	99.0	98.0	25.3406	5.1273	7.687	41.4878	33.8008	4.9423	2.6411	0.258	2.2672	3.1485	0.8813
52835891	353.0	268.0	1058.0	3.227	0.553	0.108	0.03	5.0	0.3	99.0	98.0	24.5058	5.0957	5.258	40.3986	35.1407	4.8091	2.6937	0.1126	2.4056	2.8801	0.4746
55710183	369.0	301.0	1229.0	3.018	0.618	0.146	0.029	8.0	0.5	99.0	98.0	25.232	5.9123	10.1439	41.0088	30.8649	4.2677	3.0667	0.1952	2.5821	3.3558	0.7737
56162563	479.0	333.0	1346.0	3.088	0.555	0.116	0.025	6.0	0.4	99.0	98.0	26.2017	5.7739	12.3897	46.9771	34.5874	4.5379	2.5985	0.2269	2.273	3.195	0.922
60021964	465.0	325.0	1483.0	3.32	0.591	0.139	0.032	6.0	0.5	99.0	98.0	26.5173	5.0581	13.7213	40.3281	26.6068	5.2425	2.7651	0.2966	2.3478	3.2346	0.8867
62582335	275.0	198.0	684.0	2.986	0.577	0.133	0.024	4.0	0.3	99.0	98.0	26.9679	5.5572	6.2903	39.3071	33.0169	4.8528	2.5278	0.0755	2.3287	2.6545	0.3258
65198031	419.0	291.0	1028.0	2.928	0.624	0.126	0.036	4.0	0.7	99.0	98.0	21.335	5.2856	8.1231	40.7186	32.5955	4.0365	2.4811	0.1323	2.2248	2.8896	0.6649
70214854	359.0	250.0	956.0	2.86	0.615	0.13	0.022	5.0	0.3	99.0	98.0	27.9106	5.2648	14.7721	43.5936	28.8215	5.3013	2.5632	0.0994	2.353	2.7168	0.3638
71851847	366.0	251.0	840.0	3.107	0.577	0.139	0.031	6.0	0.5	99.0	98.0	30.3969	5.3443	13.8806	44.3867	30.506	5.6877	2.3683	0.1388	2.1305	2.5918	0.4613
74920331	459.0	317.0	1235.0	3.239	0.615	0.12	0.021	4.0	0.3	99.0	98.0	24.754	3.5282	15.7873	35.3951	19.6078	7.016	2.4225	0.2609	2.0787	2.8866	0.8079
77390767	392.0	270.0	922.0	2.827	0.534	0.122	0.033	6.0	0.4	99.0	98.0	24.2562	5.3089	10.5731	42.8308	32.2577	4.569	2.474	0.1457	2.2124	2.7385	0.5261
